chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name
CHEMBL1165176,Cl.N=c1[nH]c(=O)[nH]c2nc(SCc3nc4ccccc4[nH]3)nc(-c3ccccc3)c12,C20H16ClN7OS,2.84,8.55,Cytotoxicity against human NCI-H460 cells after 3 days by MTT assay,NCI-H460
CHEMBL1165176,Cl.N=c1[nH]c(=O)[nH]c2nc(SCc3nc4ccccc4[nH]3)nc(-c3ccccc3)c12,C20H16ClN7OS,3.1,8.51,Cytotoxicity against human HL60 cells after 3 days by MTT assay,HL-60
CHEMBL1165176,Cl.N=c1[nH]c(=O)[nH]c2nc(SCc3nc4ccccc4[nH]3)nc(-c3ccccc3)c12,C20H16ClN7OS,2.87,8.54,Cytotoxicity against human U937 cells after 3 days by MTT assay,U-937
CHEMBL1165176,Cl.N=c1[nH]c(=O)[nH]c2nc(SCc3nc4ccccc4[nH]3)nc(-c3ccccc3)c12,C20H16ClN7OS,14.7,7.83,Cytotoxicity against human K562 cells after 3 days by MTT assay,K562
CHEMBL1165176,Cl.N=c1[nH]c(=O)[nH]c2nc(SCc3nc4ccccc4[nH]3)nc(-c3ccccc3)c12,C20H16ClN7OS,3.2,8.49,Cytotoxicity against human G361 cells after 3 days by MTT assay,G-361
CHEMBL1165176,Cl.N=c1[nH]c(=O)[nH]c2nc(SCc3nc4ccccc4[nH]3)nc(-c3ccccc3)c12,C20H16ClN7OS,8.9,8.05,Cytotoxicity against human SK-MEL-28 cells after 3 days by MTT assay,SK-MEL-28
CHEMBL1165176,Cl.N=c1[nH]c(=O)[nH]c2nc(SCc3nc4ccccc4[nH]3)nc(-c3ccccc3)c12,C20H16ClN7OS,8.9,8.05,Cytotoxicity against human GOTO cells after 3 days by MTT assay,GOTO
CHEMBL1165176,Cl.N=c1[nH]c(=O)[nH]c2nc(SCc3nc4ccccc4[nH]3)nc(-c3ccccc3)c12,C20H16ClN7OS,11.3,7.95,Cytotoxicity against human NB-1 cells after 3 days by MTT assay,NB1
CHEMBL1163553,Nc1ccccc1NC(=O)c1ccc(CSc2ccc3ccccc3c2)cc1,C24H20N2OS,2600.0,5.58,Cytotoxicity against human HCT116 cells after 3 days by WST-1 assay,HCT-116
CHEMBL1163806,Nc1ccccc1NC(=O)c1ccc(CSCc2ccc3ccccc3c2)cc1,C25H22N2OS,3600.0,5.44,Cytotoxicity against human HCT116 cells after 3 days by WST-1 assay,HCT-116
CHEMBL1163886,Nc1ccccc1NC(=O)c1ccc(CSCc2ccc(Cl)cc2)cc1,C21H19ClN2OS,3900.0,5.41,Cytotoxicity against human HCT116 cells after 3 days by WST-1 assay,HCT-116
CHEMBL1163887,Nc1ccccc1NC(=O)c1ccc(CNCc2ccc(-c3cccs3)cc2)cc1,C25H23N3OS,2300.0,5.64,Cytotoxicity against human HCT116 cells after 3 days by WST-1 assay,HCT-116
CHEMBL1165102,Nc1ccccc1NC(=O)c1ccc(CNCc2cc3ccccc3s2)cc1,C23H21N3OS,3400.0,5.47,Cytotoxicity against human HCT116 cells after 3 days by WST-1 assay,HCT-116
CHEMBL1164335,Nc1ccccc1NC(=O)c1ccc(CNCc2cccc(-c3cccs3)c2)cc1,C25H23N3OS,5000.0,5.3,Cytotoxicity against human HCT116 cells after 3 days by WST-1 assay,HCT-116
CHEMBL1165580,CN(Cc1ccc(C(=O)Nc2ccccc2N)cc1)Cc1ccc(-c2cccs2)cc1,C26H25N3OS,2300.0,5.64,Cytotoxicity against human HCT116 cells after 3 days by WST-1 assay,HCT-116
CHEMBL1163176,CCN(CC)C(=S)SC(CC(=O)c1ccccc1)c1ccccc1,C20H23NOS2,17000.0,4.77,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL1163531,CCN(CC)C(=S)SC(CC(=O)c1ccccc1)c1ccc(C)cc1,C21H25NOS2,20000.0,4.7,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL1163539,CCN(CC)C(=S)SC(CC(=O)c1ccccc1)c1ccc(Br)cc1,C20H22BrNOS2,80.0,7.1,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL1163534,CCN(CC)C(=S)SC(CC(=O)c1ccccc1)c1ccc(Cl)cc1,C20H22ClNOS2,120.0,6.92,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL1163530,CCN(CC)C(=S)SC(CC(=O)c1ccccc1)c1ccc(F)cc1,C20H22FNOS2,700.0,6.16,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL1163727,CCN(CC)C(=S)SC(CC(=O)c1ccccc1)c1ccccc1Cl,C20H22ClNOS2,4500.0,5.35,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL1163180,CCN(CC)C(=S)SC(CC(C)=O)c1ccccc1,C15H21NOS2,23000.0,4.64,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL1163815,CCN(CC)C(=S)SC(CC(=O)c1ccc(Br)cc1)c1ccccc1,C20H22BrNOS2,5000.0,5.3,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL1163816,CCN(CC)C(=S)SC(CC(=O)c1ccc(Cl)c(Cl)c1)c1ccccc1,C20H21Cl2NOS2,4500.0,5.35,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL1163178,CCN(CC)C(=S)SC(CC(=O)c1ccc(Cl)cc1)c1ccccc1,C20H22ClNOS2,40.0,7.4,Cytotoxicity against human MCF7 cells after 48 hrs by MTT assay,MCF7
CHEMBL1170563,N#Cc1c(SCC(=O)c2ccccc2)nc2c(c1-c1ccsc1)CCCC2,C22H18N2OS2,300000.0,,Antiproliferative activity against human TPC1 cells expressing RET/PCT1 after 72 hrs by [3H]thymidine incorporation assay,TPC1
CHEMBL1171960,N#Cc1c(N)nc(SCC(=O)c2ccccc2)c(C#N)c1-c1ccsc1,C19H12N4OS2,300000.0,,Antiproliferative activity against human TPC1 cells expressing RET/PCT1 after 72 hrs by [3H]thymidine incorporation assay,TPC1
CHEMBL1172147,N#Cc1c(N)nc(SCC(=O)c2ccc(Cl)cc2)c(C#N)c1-c1ccsc1,C19H11ClN4OS2,28000.0,4.55,Antiproliferative activity against human TPC1 cells expressing RET/PCT1 after 72 hrs by [3H]thymidine incorporation assay,TPC1
CHEMBL1170563,N#Cc1c(SCC(=O)c2ccccc2)nc2c(c1-c1ccsc1)CCCC2,C22H18N2OS2,9000.0,5.05,Antiproliferative activity against human RET deficient ARO cells after 72 hrs by [3H]thymidine incorporation assay,ARO
CHEMBL1171960,N#Cc1c(N)nc(SCC(=O)c2ccccc2)c(C#N)c1-c1ccsc1,C19H12N4OS2,300000.0,,Antiproliferative activity against human RET deficient ARO cells after 72 hrs by [3H]thymidine incorporation assay,ARO
CHEMBL1172147,N#Cc1c(N)nc(SCC(=O)c2ccc(Cl)cc2)c(C#N)c1-c1ccsc1,C19H11ClN4OS2,159000.0,,Antiproliferative activity against human RET deficient ARO cells after 72 hrs by [3H]thymidine incorporation assay,ARO
CHEMBL1171229,CN(C)c1ccc(-c2nc3c(s2)C(O)CCC3)cc1,C15H18N2OS,150000.0,,Cytotoxicity against human HCT116 cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1171230,CN(C)c1ccc(-c2nc3c(s2)[C@H](O)CCC3)cc1,C15H18N2OS,114000.0,,Cytotoxicity against human HCT116 cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1171231,CN(C)c1ccc(-c2nc3c(s2)[C@@H](O)CCC3)cc1,C15H18N2OS,100000.0,,Cytotoxicity against human HCT116 cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL3085434,Cc1cc(N(C)C)ccc1-c1nc2c(s1)[C@@H](O)CCC2,C16H20N2OS,127000.0,,Cytotoxicity against human HCT116 cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1171519,Cc1cc(N(C)C)ccc1-c1nc2c(s1)[C@H](O)CCC2,C16H20N2OS,100000.0,,Cytotoxicity against human HCT116 cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1172514,OC1CCCc2nc(-c3ccc(N4CCCC4)cc3)sc21,C17H20N2OS,100000.0,,Cytotoxicity against human HCT116 cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1172517,CN(C)c1ccc(-c2nc3c(s2)C(O)CNC3)cc1,C14H17N3OS,121000.0,,Cytotoxicity against human HCT116 cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1169797,OC1CNCc2nc(-c3ccc(N4CCCC4)cc3)sc21,C16H19N3OS,25000.0,4.6,Cytotoxicity against human HCT116 cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1171229,CN(C)c1ccc(-c2nc3c(s2)C(O)CCC3)cc1,C15H18N2OS,1500.0,5.82,Cytotoxicity against human HCT116-D8 securin -/- cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1171230,CN(C)c1ccc(-c2nc3c(s2)[C@H](O)CCC3)cc1,C15H18N2OS,850.0,6.07,Cytotoxicity against human HCT116-D8 securin -/- cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1171231,CN(C)c1ccc(-c2nc3c(s2)[C@@H](O)CCC3)cc1,C15H18N2OS,20000.0,4.7,Cytotoxicity against human HCT116-D8 securin -/- cells after 2 days by sulforhodamine B assay,HCT-116
