chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name
CHEMBL5868021,COc1cc(C)cc2cc(-c3c(CN(C)CC(F)(F)F)cn4ncnc(N)c34)sc12,C20H20F3N5OS,32.1,7.49,"High ATP Kinase Assay: Usually, test compounds were tested on the same microtiter plate at 11 different concentrations in the range of 20 μM to 0.1 nM (e.g. 20 μM, 5.9 μM, 1.7 μM, 0.51 μM, 0.15 μM, 44 nM, 13 nM, 3.8 nM, 1.1 nM, 0.33 nM, and 0.1 nM) in duplicates for each concentration. The dilution series was prepared separately prior to the assay as 100-fold concentrated stock solutions in DMSO; exact concentrations could vary depending on the pipettor used. For the assay, 50 nl of each stock solution of the test compound in DMSO was pipetted into a black, low-volume 384-well microtiter plate (Greiner Bio-One, Frickenhausen, Germany). 2 μl of a solution of the above FGFR-1 fusion protein in aqueous assay buffer [8 mM MOPS pH 7.0, 10 mM magnesium acetate, 1.0 mM dithiothreitol, 0.05% (w/v) bovine serum albumin (BSA), 0.07% (v/v) Tween-20, 0.2 mM EDTA] was added, and the mixture was incubated for 15 min at 22° C. to allow pre-binding of the test compound to the enzyme. Then, the kinase reaction was started by the addition of 3 μl of a solution of adenosine triphosphate (ATP, 3.3 mM; final concentration in the 5 μl assay volume=2 mM) and substrate (0.16 μM; final concentration in the 5 μl assay volume=0.1 μM) in assay buffer, and the resulting mixture was incubated for a reaction time of 15 min at 22° C. The concentration of FGFR-1 fusion protein was adjusted depending on the activity of the enzyme lot and was chosen appropriately to have the assay in the linear range (typical concentrations were in the range of 0.05 μg/ml). The reaction was stopped by the addition of 5 μl of a solution of HTRF detection reagents [25 nM streptavidin-XL665 (Cis Biointernational) and 1 nM PT66-Eu-chelate, an europium-chelate labelled anti-phosphotyrosine antibody (Perkin-Elmer; PT66-Tb-cryptate from Cis Biointernational may be used instead), in an aqueous EDTA solution (50 mM EDTA, 0.1% (w/v) BSA in 50 mM HEPES/NaOH pH 7.5)].",Fibroblast growth factor receptor 1
CHEMBL5911323,COc1cc(C)cc2cc(-c3c(CN4CCC(F)(F)C4)cn4ncnc(N)c34)sc12,C21H21F2N5OS,6.5,8.19,"High ATP Kinase Assay: Usually, test compounds were tested on the same microtiter plate at 11 different concentrations in the range of 20 μM to 0.1 nM (e.g. 20 μM, 5.9 μM, 1.7 μM, 0.51 μM, 0.15 μM, 44 nM, 13 nM, 3.8 nM, 1.1 nM, 0.33 nM, and 0.1 nM) in duplicates for each concentration. The dilution series was prepared separately prior to the assay as 100-fold concentrated stock solutions in DMSO; exact concentrations could vary depending on the pipettor used. For the assay, 50 nl of each stock solution of the test compound in DMSO was pipetted into a black, low-volume 384-well microtiter plate (Greiner Bio-One, Frickenhausen, Germany). 2 μl of a solution of the above FGFR-1 fusion protein in aqueous assay buffer [8 mM MOPS pH 7.0, 10 mM magnesium acetate, 1.0 mM dithiothreitol, 0.05% (w/v) bovine serum albumin (BSA), 0.07% (v/v) Tween-20, 0.2 mM EDTA] was added, and the mixture was incubated for 15 min at 22° C. to allow pre-binding of the test compound to the enzyme. Then, the kinase reaction was started by the addition of 3 μl of a solution of adenosine triphosphate (ATP, 3.3 mM; final concentration in the 5 μl assay volume=2 mM) and substrate (0.16 μM; final concentration in the 5 μl assay volume=0.1 μM) in assay buffer, and the resulting mixture was incubated for a reaction time of 15 min at 22° C. The concentration of FGFR-1 fusion protein was adjusted depending on the activity of the enzyme lot and was chosen appropriately to have the assay in the linear range (typical concentrations were in the range of 0.05 μg/ml). The reaction was stopped by the addition of 5 μl of a solution of HTRF detection reagents [25 nM streptavidin-XL665 (Cis Biointernational) and 1 nM PT66-Eu-chelate, an europium-chelate labelled anti-phosphotyrosine antibody (Perkin-Elmer; PT66-Tb-cryptate from Cis Biointernational may be used instead), in an aqueous EDTA solution (50 mM EDTA, 0.1% (w/v) BSA in 50 mM HEPES/NaOH pH 7.5)].",Fibroblast growth factor receptor 1
CHEMBL6008868,COc1cc(C)cc2cc(-c3c(CN4CC[C@@H](N(C)C)C4)cn4ncnc(N)c34)sc12,C23H28N6OS,0.7,9.15,"High ATP Kinase Assay: Usually, test compounds were tested on the same microtiter plate at 11 different concentrations in the range of 20 μM to 0.1 nM (e.g. 20 μM, 5.9 μM, 1.7 μM, 0.51 μM, 0.15 μM, 44 nM, 13 nM, 3.8 nM, 1.1 nM, 0.33 nM, and 0.1 nM) in duplicates for each concentration. The dilution series was prepared separately prior to the assay as 100-fold concentrated stock solutions in DMSO; exact concentrations could vary depending on the pipettor used. For the assay, 50 nl of each stock solution of the test compound in DMSO was pipetted into a black, low-volume 384-well microtiter plate (Greiner Bio-One, Frickenhausen, Germany). 2 μl of a solution of the above FGFR-1 fusion protein in aqueous assay buffer [8 mM MOPS pH 7.0, 10 mM magnesium acetate, 1.0 mM dithiothreitol, 0.05% (w/v) bovine serum albumin (BSA), 0.07% (v/v) Tween-20, 0.2 mM EDTA] was added, and the mixture was incubated for 15 min at 22° C. to allow pre-binding of the test compound to the enzyme. Then, the kinase reaction was started by the addition of 3 μl of a solution of adenosine triphosphate (ATP, 3.3 mM; final concentration in the 5 μl assay volume=2 mM) and substrate (0.16 μM; final concentration in the 5 μl assay volume=0.1 μM) in assay buffer, and the resulting mixture was incubated for a reaction time of 15 min at 22° C. The concentration of FGFR-1 fusion protein was adjusted depending on the activity of the enzyme lot and was chosen appropriately to have the assay in the linear range (typical concentrations were in the range of 0.05 μg/ml). The reaction was stopped by the addition of 5 μl of a solution of HTRF detection reagents [25 nM streptavidin-XL665 (Cis Biointernational) and 1 nM PT66-Eu-chelate, an europium-chelate labelled anti-phosphotyrosine antibody (Perkin-Elmer; PT66-Tb-cryptate from Cis Biointernational may be used instead), in an aqueous EDTA solution (50 mM EDTA, 0.1% (w/v) BSA in 50 mM HEPES/NaOH pH 7.5)].",Fibroblast growth factor receptor 1
CHEMBL5876677,COc1cc(C)cc2cc(-c3c(CN4CC[C@H](N(C)C)C4)cn4ncnc(N)c34)sc12,C23H28N6OS,1.0,9.0,"High ATP Kinase Assay: Usually, test compounds were tested on the same microtiter plate at 11 different concentrations in the range of 20 μM to 0.1 nM (e.g. 20 μM, 5.9 μM, 1.7 μM, 0.51 μM, 0.15 μM, 44 nM, 13 nM, 3.8 nM, 1.1 nM, 0.33 nM, and 0.1 nM) in duplicates for each concentration. The dilution series was prepared separately prior to the assay as 100-fold concentrated stock solutions in DMSO; exact concentrations could vary depending on the pipettor used. For the assay, 50 nl of each stock solution of the test compound in DMSO was pipetted into a black, low-volume 384-well microtiter plate (Greiner Bio-One, Frickenhausen, Germany). 2 μl of a solution of the above FGFR-1 fusion protein in aqueous assay buffer [8 mM MOPS pH 7.0, 10 mM magnesium acetate, 1.0 mM dithiothreitol, 0.05% (w/v) bovine serum albumin (BSA), 0.07% (v/v) Tween-20, 0.2 mM EDTA] was added, and the mixture was incubated for 15 min at 22° C. to allow pre-binding of the test compound to the enzyme. Then, the kinase reaction was started by the addition of 3 μl of a solution of adenosine triphosphate (ATP, 3.3 mM; final concentration in the 5 μl assay volume=2 mM) and substrate (0.16 μM; final concentration in the 5 μl assay volume=0.1 μM) in assay buffer, and the resulting mixture was incubated for a reaction time of 15 min at 22° C. The concentration of FGFR-1 fusion protein was adjusted depending on the activity of the enzyme lot and was chosen appropriately to have the assay in the linear range (typical concentrations were in the range of 0.05 μg/ml). The reaction was stopped by the addition of 5 μl of a solution of HTRF detection reagents [25 nM streptavidin-XL665 (Cis Biointernational) and 1 nM PT66-Eu-chelate, an europium-chelate labelled anti-phosphotyrosine antibody (Perkin-Elmer; PT66-Tb-cryptate from Cis Biointernational may be used instead), in an aqueous EDTA solution (50 mM EDTA, 0.1% (w/v) BSA in 50 mM HEPES/NaOH pH 7.5)].",Fibroblast growth factor receptor 1
CHEMBL5950680,COc1cc(C)cc2cc(-c3c(CN4CCCC(N(C)C)C4)cn4ncnc(N)c34)sc12,C24H30N6OS,0.9,9.05,"High ATP Kinase Assay: Usually, test compounds were tested on the same microtiter plate at 11 different concentrations in the range of 20 μM to 0.1 nM (e.g. 20 μM, 5.9 μM, 1.7 μM, 0.51 μM, 0.15 μM, 44 nM, 13 nM, 3.8 nM, 1.1 nM, 0.33 nM, and 0.1 nM) in duplicates for each concentration. The dilution series was prepared separately prior to the assay as 100-fold concentrated stock solutions in DMSO; exact concentrations could vary depending on the pipettor used. For the assay, 50 nl of each stock solution of the test compound in DMSO was pipetted into a black, low-volume 384-well microtiter plate (Greiner Bio-One, Frickenhausen, Germany). 2 μl of a solution of the above FGFR-1 fusion protein in aqueous assay buffer [8 mM MOPS pH 7.0, 10 mM magnesium acetate, 1.0 mM dithiothreitol, 0.05% (w/v) bovine serum albumin (BSA), 0.07% (v/v) Tween-20, 0.2 mM EDTA] was added, and the mixture was incubated for 15 min at 22° C. to allow pre-binding of the test compound to the enzyme. Then, the kinase reaction was started by the addition of 3 μl of a solution of adenosine triphosphate (ATP, 3.3 mM; final concentration in the 5 μl assay volume=2 mM) and substrate (0.16 μM; final concentration in the 5 μl assay volume=0.1 μM) in assay buffer, and the resulting mixture was incubated for a reaction time of 15 min at 22° C. The concentration of FGFR-1 fusion protein was adjusted depending on the activity of the enzyme lot and was chosen appropriately to have the assay in the linear range (typical concentrations were in the range of 0.05 μg/ml). The reaction was stopped by the addition of 5 μl of a solution of HTRF detection reagents [25 nM streptavidin-XL665 (Cis Biointernational) and 1 nM PT66-Eu-chelate, an europium-chelate labelled anti-phosphotyrosine antibody (Perkin-Elmer; PT66-Tb-cryptate from Cis Biointernational may be used instead), in an aqueous EDTA solution (50 mM EDTA, 0.1% (w/v) BSA in 50 mM HEPES/NaOH pH 7.5)].",Fibroblast growth factor receptor 1
CHEMBL6052814,COc1cc(C)cc2cc(-c3c(CN4CCCN(C)CC4)cn4ncnc(N)c34)sc12,C23H28N6OS,1.5,8.82,"High ATP Kinase Assay: Usually, test compounds were tested on the same microtiter plate at 11 different concentrations in the range of 20 μM to 0.1 nM (e.g. 20 μM, 5.9 μM, 1.7 μM, 0.51 μM, 0.15 μM, 44 nM, 13 nM, 3.8 nM, 1.1 nM, 0.33 nM, and 0.1 nM) in duplicates for each concentration. The dilution series was prepared separately prior to the assay as 100-fold concentrated stock solutions in DMSO; exact concentrations could vary depending on the pipettor used. For the assay, 50 nl of each stock solution of the test compound in DMSO was pipetted into a black, low-volume 384-well microtiter plate (Greiner Bio-One, Frickenhausen, Germany). 2 μl of a solution of the above FGFR-1 fusion protein in aqueous assay buffer [8 mM MOPS pH 7.0, 10 mM magnesium acetate, 1.0 mM dithiothreitol, 0.05% (w/v) bovine serum albumin (BSA), 0.07% (v/v) Tween-20, 0.2 mM EDTA] was added, and the mixture was incubated for 15 min at 22° C. to allow pre-binding of the test compound to the enzyme. Then, the kinase reaction was started by the addition of 3 μl of a solution of adenosine triphosphate (ATP, 3.3 mM; final concentration in the 5 μl assay volume=2 mM) and substrate (0.16 μM; final concentration in the 5 μl assay volume=0.1 μM) in assay buffer, and the resulting mixture was incubated for a reaction time of 15 min at 22° C. The concentration of FGFR-1 fusion protein was adjusted depending on the activity of the enzyme lot and was chosen appropriately to have the assay in the linear range (typical concentrations were in the range of 0.05 μg/ml). The reaction was stopped by the addition of 5 μl of a solution of HTRF detection reagents [25 nM streptavidin-XL665 (Cis Biointernational) and 1 nM PT66-Eu-chelate, an europium-chelate labelled anti-phosphotyrosine antibody (Perkin-Elmer; PT66-Tb-cryptate from Cis Biointernational may be used instead), in an aqueous EDTA solution (50 mM EDTA, 0.1% (w/v) BSA in 50 mM HEPES/NaOH pH 7.5)].",Fibroblast growth factor receptor 1
CHEMBL5876543,CCC(C)NCc1cn2ncnc(N)c2c1-c1cc2cc(C)cc(OC)c2s1,C21H25N5OS,33.8,7.47,"High ATP Kinase Assay: Usually, test compounds were tested on the same microtiter plate at 11 different concentrations in the range of 20 μM to 0.1 nM (e.g. 20 μM, 5.9 μM, 1.7 μM, 0.51 μM, 0.15 μM, 44 nM, 13 nM, 3.8 nM, 1.1 nM, 0.33 nM, and 0.1 nM) in duplicates for each concentration. The dilution series was prepared separately prior to the assay as 100-fold concentrated stock solutions in DMSO; exact concentrations could vary depending on the pipettor used. For the assay, 50 nl of each stock solution of the test compound in DMSO was pipetted into a black, low-volume 384-well microtiter plate (Greiner Bio-One, Frickenhausen, Germany). 2 μl of a solution of the above FGFR-1 fusion protein in aqueous assay buffer [8 mM MOPS pH 7.0, 10 mM magnesium acetate, 1.0 mM dithiothreitol, 0.05% (w/v) bovine serum albumin (BSA), 0.07% (v/v) Tween-20, 0.2 mM EDTA] was added, and the mixture was incubated for 15 min at 22° C. to allow pre-binding of the test compound to the enzyme. Then, the kinase reaction was started by the addition of 3 μl of a solution of adenosine triphosphate (ATP, 3.3 mM; final concentration in the 5 μl assay volume=2 mM) and substrate (0.16 μM; final concentration in the 5 μl assay volume=0.1 μM) in assay buffer, and the resulting mixture was incubated for a reaction time of 15 min at 22° C. The concentration of FGFR-1 fusion protein was adjusted depending on the activity of the enzyme lot and was chosen appropriately to have the assay in the linear range (typical concentrations were in the range of 0.05 μg/ml). The reaction was stopped by the addition of 5 μl of a solution of HTRF detection reagents [25 nM streptavidin-XL665 (Cis Biointernational) and 1 nM PT66-Eu-chelate, an europium-chelate labelled anti-phosphotyrosine antibody (Perkin-Elmer; PT66-Tb-cryptate from Cis Biointernational may be used instead), in an aqueous EDTA solution (50 mM EDTA, 0.1% (w/v) BSA in 50 mM HEPES/NaOH pH 7.5)].",Fibroblast growth factor receptor 1
CHEMBL5817518,CCN1CCCC1NCc1cn2ncnc(N)c2c1-c1cc2cc(C)cc(OC)c2s1,C23H28N6OS,14.7,7.83,"High ATP Kinase Assay: Usually, test compounds were tested on the same microtiter plate at 11 different concentrations in the range of 20 μM to 0.1 nM (e.g. 20 μM, 5.9 μM, 1.7 μM, 0.51 μM, 0.15 μM, 44 nM, 13 nM, 3.8 nM, 1.1 nM, 0.33 nM, and 0.1 nM) in duplicates for each concentration. The dilution series was prepared separately prior to the assay as 100-fold concentrated stock solutions in DMSO; exact concentrations could vary depending on the pipettor used. For the assay, 50 nl of each stock solution of the test compound in DMSO was pipetted into a black, low-volume 384-well microtiter plate (Greiner Bio-One, Frickenhausen, Germany). 2 μl of a solution of the above FGFR-1 fusion protein in aqueous assay buffer [8 mM MOPS pH 7.0, 10 mM magnesium acetate, 1.0 mM dithiothreitol, 0.05% (w/v) bovine serum albumin (BSA), 0.07% (v/v) Tween-20, 0.2 mM EDTA] was added, and the mixture was incubated for 15 min at 22° C. to allow pre-binding of the test compound to the enzyme. Then, the kinase reaction was started by the addition of 3 μl of a solution of adenosine triphosphate (ATP, 3.3 mM; final concentration in the 5 μl assay volume=2 mM) and substrate (0.16 μM; final concentration in the 5 μl assay volume=0.1 μM) in assay buffer, and the resulting mixture was incubated for a reaction time of 15 min at 22° C. The concentration of FGFR-1 fusion protein was adjusted depending on the activity of the enzyme lot and was chosen appropriately to have the assay in the linear range (typical concentrations were in the range of 0.05 μg/ml). The reaction was stopped by the addition of 5 μl of a solution of HTRF detection reagents [25 nM streptavidin-XL665 (Cis Biointernational) and 1 nM PT66-Eu-chelate, an europium-chelate labelled anti-phosphotyrosine antibody (Perkin-Elmer; PT66-Tb-cryptate from Cis Biointernational may be used instead), in an aqueous EDTA solution (50 mM EDTA, 0.1% (w/v) BSA in 50 mM HEPES/NaOH pH 7.5)].",Fibroblast growth factor receptor 1
CHEMBL5798075,Cc1noc(C)c1-c1ccc2c(c1)nc(Nc1ccc(SC(F)(F)F)cc1)n2[C@@H]1C[C@H](C)CC(C)(C)C1,C28H31F3N4OS,10000.0,5.0,"Mutant IDH1 Cellular Assay: Levels of (2R)-2-hydroxyglutarate (2HG) were measured in medium of a cell line with overexpression of mutated isocitrate dehydrogenase (mIDH) protein. mIDH catalyzes the NADPH-dependent reduction of alpha-ketoglutarate to 2-HG. Cells (LN229 R132H, Mohrenz et al., Apoptosis (2013) 18:1416-1425) were grown in DMEM containing 10% FCS. They were harvested by trypsin and seeded into 96-well plates. Cells were incubated overnight at 37° C. in 5% CO2. The next day test compounds were added to each cell well. The final concentration of DMSO was 0.1% and DMSO controls were included. The plates were then placed in an incubator for 24 hours.2-HG was measured according to Balss et al. (Acta Neuropathol (2012) 124: 883-891). Briefly, HClO4 was added to each well and the plates were centrifuged. Aliquots are removed and incubated with hydroxyglutarate dehydrogenase (HGDH), diaphorase, NAD+, and resazurin. The conversion of resazurin to resorufin was detected by fluorescence spectroscopy at Ex 540 nm Em 600 nm. The increase in fluorescence is proportional to 2-HG production. IC50 values are determined by interpolation from plots of relative fluorescence vs inhibitor concentration.",Isocitrate dehydrogenase [NADP] cytoplasmic
CHEMBL6033699,Cc1noc(C)c1-c1ccc2c(c1)nc(Nc1ccc(SC(F)(F)F)cc1)n2[C@H]1C[C@@H](C)CC(C)(C)C1,C28H31F3N4OS,2500.0,5.6,"Mutant IDH1 Cellular Assay: Levels of (2R)-2-hydroxyglutarate (2HG) were measured in medium of a cell line with overexpression of mutated isocitrate dehydrogenase (mIDH) protein. mIDH catalyzes the NADPH-dependent reduction of alpha-ketoglutarate to 2-HG. Cells (LN229 R132H, Mohrenz et al., Apoptosis (2013) 18:1416-1425) were grown in DMEM containing 10% FCS. They were harvested by trypsin and seeded into 96-well plates. Cells were incubated overnight at 37° C. in 5% CO2. The next day test compounds were added to each cell well. The final concentration of DMSO was 0.1% and DMSO controls were included. The plates were then placed in an incubator for 24 hours.2-HG was measured according to Balss et al. (Acta Neuropathol (2012) 124: 883-891). Briefly, HClO4 was added to each well and the plates were centrifuged. Aliquots are removed and incubated with hydroxyglutarate dehydrogenase (HGDH), diaphorase, NAD+, and resazurin. The conversion of resazurin to resorufin was detected by fluorescence spectroscopy at Ex 540 nm Em 600 nm. The increase in fluorescence is proportional to 2-HG production. IC50 values are determined by interpolation from plots of relative fluorescence vs inhibitor concentration.",Isocitrate dehydrogenase [NADP] cytoplasmic
CHEMBL5797734,CC1=CC2=NC(C(=O)NCCSCc3ccccc3F)CN2C=C1,C18H20FN3OS,8200.0,5.09,"OCT3 inhibitory activity: An existing amount of the OCT3 protein can be estimated from an amount of a compound free in the extracellular fluid in a method similar to a method described in Japanese Patent No. 1936624. In the experiment, HEK293 cells, which are human embryonic kidney cell lines expressing the human organic cation transporter 3 (OCT3) are prepared as a positive control, and cell lines the OCT3 expression of which is desired to be checked are prepared as test cells. The cells are seeded at 1.5×105 cells/well in a 24-well plate and cultured overnight in a carbon dioxide incubator. After being dissolved in a 100% DMSO solution, the test substance was dissolved in a HBSS-HEPES solution (a buffer solution adjusted to pH 7.4 with 1M sodium hydroxide, by dissolving 9.7 g of Hanks balanced salt, 25 mL of 1.4% sodium bicarbonate, and 25 mL of 1M HEPES in 940 mL of ultrapure water). After a cell culture medium is removed, a pretreatment for 5 minutes is performed with 1 mL of the HBSS-HEPES solution. Thereafter, the compound of the present invention as the test substance and histamine (final concentration: 100 nM) are added to the cells and allowed to react for 1 minute at room temperature. After completion of the reaction, the reaction is stopped with the ice-cooled HBSS-HEPES solution, and extracellular fluid is collected.","POU domain, class 5, transcription factor 1"
CHEMBL5953883,CCOc1ccccc1-n1nnnc1SCc1cn2cc(C)ccc2n1,C18H18N6OS,25300.0,4.6,"OCT3 inhibitory activity: An existing amount of the OCT3 protein can be estimated from an amount of a compound free in the extracellular fluid in a method similar to a method described in Japanese Patent No. 1936624. In the experiment, HEK293 cells, which are human embryonic kidney cell lines expressing the human organic cation transporter 3 (OCT3) are prepared as a positive control, and cell lines the OCT3 expression of which is desired to be checked are prepared as test cells. The cells are seeded at 1.5×105 cells/well in a 24-well plate and cultured overnight in a carbon dioxide incubator. After being dissolved in a 100% DMSO solution, the test substance was dissolved in a HBSS-HEPES solution (a buffer solution adjusted to pH 7.4 with 1M sodium hydroxide, by dissolving 9.7 g of Hanks balanced salt, 25 mL of 1.4% sodium bicarbonate, and 25 mL of 1M HEPES in 940 mL of ultrapure water). After a cell culture medium is removed, a pretreatment for 5 minutes is performed with 1 mL of the HBSS-HEPES solution. Thereafter, the compound of the present invention as the test substance and histamine (final concentration: 100 nM) are added to the cells and allowed to react for 1 minute at room temperature. After completion of the reaction, the reaction is stopped with the ice-cooled HBSS-HEPES solution, and extracellular fluid is collected.","POU domain, class 5, transcription factor 1"
CHEMBL5897801,CC[C@@H](N)c1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,C16H17ClN4OS,8.6,8.07,"Inhibitory Activity: The pharmacological activity of compounds disclosed herein was tested in the following screen (Test A) in which the compounds were tested in the presence of ascorbate, which reacts with MPO-derived hypochlorous acid (HOCl) to form dehydro-ascorbate. The loss of ascorbate is followed by measuring absorbance at 260 nm.Assay buffer: 100 μM diethyl triamine pentaacetic acid (DTPA) in buffer consisting of 10 mM Na2HPO4/NaH2PO4, 3 mM KCl in 140 mM NaCl, pH 7.4.Enzyme solution: MPO purified from the human cell line HL60, 1.38 nM (final concentration 0.7 nM) and L-ascorbate, 100 μM (final concentration 50 μM) in Assay bufferSubstrate solution: H2O2, 98 μM (final concentration 49 μM) Forty μL of the enzyme solution was added to 0.6 μL compound serially diluted in DMSO. Absorbance was measured at 260 nm to obtain a compound blank value. After an additional 10 min, 40 μL of the substrate solution was added and the absorbance at 260 nm was recorded between 4 and 40 min to obtain kinetic readings of enzyme activity.",Myeloperoxidase
CHEMBL5936050,CC(N)c1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,C15H15ClN4OS,7.0,8.15,"Inhibitory Activity: The pharmacological activity of compounds disclosed herein was tested in the following screen (Test A) in which the compounds were tested in the presence of ascorbate, which reacts with MPO-derived hypochlorous acid (HOCl) to form dehydro-ascorbate. The loss of ascorbate is followed by measuring absorbance at 260 nm.Assay buffer: 100 μM diethyl triamine pentaacetic acid (DTPA) in buffer consisting of 10 mM Na2HPO4/NaH2PO4, 3 mM KCl in 140 mM NaCl, pH 7.4.Enzyme solution: MPO purified from the human cell line HL60, 1.38 nM (final concentration 0.7 nM) and L-ascorbate, 100 μM (final concentration 50 μM) in Assay bufferSubstrate solution: H2O2, 98 μM (final concentration 49 μM) Forty μL of the enzyme solution was added to 0.6 μL compound serially diluted in DMSO. Absorbance was measured at 260 nm to obtain a compound blank value. After an additional 10 min, 40 μL of the substrate solution was added and the absorbance at 260 nm was recorded between 4 and 40 min to obtain kinetic readings of enzyme activity.",Myeloperoxidase
CHEMBL5095218,C[C@@H](N)c1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,C15H15ClN4OS,7.0,8.15,"Inhibitory Activity: The pharmacological activity of compounds disclosed herein was tested in the following screen (Test A) in which the compounds were tested in the presence of ascorbate, which reacts with MPO-derived hypochlorous acid (HOCl) to form dehydro-ascorbate. The loss of ascorbate is followed by measuring absorbance at 260 nm.Assay buffer: 100 μM diethyl triamine pentaacetic acid (DTPA) in buffer consisting of 10 mM Na2HPO4/NaH2PO4, 3 mM KCl in 140 mM NaCl, pH 7.4.Enzyme solution: MPO purified from the human cell line HL60, 1.38 nM (final concentration 0.7 nM) and L-ascorbate, 100 μM (final concentration 50 μM) in Assay bufferSubstrate solution: H2O2, 98 μM (final concentration 49 μM) Forty μL of the enzyme solution was added to 0.6 μL compound serially diluted in DMSO. Absorbance was measured at 260 nm to obtain a compound blank value. After an additional 10 min, 40 μL of the substrate solution was added and the absorbance at 260 nm was recorded between 4 and 40 min to obtain kinetic readings of enzyme activity.",Myeloperoxidase
CHEMBL5200597,C[C@H](N)c1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,C15H15ClN4OS,42.0,7.38,"Inhibitory Activity: The pharmacological activity of compounds disclosed herein was tested in the following screen (Test A) in which the compounds were tested in the presence of ascorbate, which reacts with MPO-derived hypochlorous acid (HOCl) to form dehydro-ascorbate. The loss of ascorbate is followed by measuring absorbance at 260 nm.Assay buffer: 100 μM diethyl triamine pentaacetic acid (DTPA) in buffer consisting of 10 mM Na2HPO4/NaH2PO4, 3 mM KCl in 140 mM NaCl, pH 7.4.Enzyme solution: MPO purified from the human cell line HL60, 1.38 nM (final concentration 0.7 nM) and L-ascorbate, 100 μM (final concentration 50 μM) in Assay bufferSubstrate solution: H2O2, 98 μM (final concentration 49 μM) Forty μL of the enzyme solution was added to 0.6 μL compound serially diluted in DMSO. Absorbance was measured at 260 nm to obtain a compound blank value. After an additional 10 min, 40 μL of the substrate solution was added and the absorbance at 260 nm was recorded between 4 and 40 min to obtain kinetic readings of enzyme activity.",Myeloperoxidase
CHEMBL5883027,CNC(C)c1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,C16H17ClN4OS,19.0,7.72,"Inhibitory Activity: The pharmacological activity of compounds disclosed herein was tested in the following screen (Test A) in which the compounds were tested in the presence of ascorbate, which reacts with MPO-derived hypochlorous acid (HOCl) to form dehydro-ascorbate. The loss of ascorbate is followed by measuring absorbance at 260 nm.Assay buffer: 100 μM diethyl triamine pentaacetic acid (DTPA) in buffer consisting of 10 mM Na2HPO4/NaH2PO4, 3 mM KCl in 140 mM NaCl, pH 7.4.Enzyme solution: MPO purified from the human cell line HL60, 1.38 nM (final concentration 0.7 nM) and L-ascorbate, 100 μM (final concentration 50 μM) in Assay bufferSubstrate solution: H2O2, 98 μM (final concentration 49 μM) Forty μL of the enzyme solution was added to 0.6 μL compound serially diluted in DMSO. Absorbance was measured at 260 nm to obtain a compound blank value. After an additional 10 min, 40 μL of the substrate solution was added and the absorbance at 260 nm was recorded between 4 and 40 min to obtain kinetic readings of enzyme activity.",Myeloperoxidase
CHEMBL5763445,CCNCc1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,C16H17ClN4OS,22.0,7.66,"Inhibitory Activity: The pharmacological activity of compounds disclosed herein was tested in the following screen (Test A) in which the compounds were tested in the presence of ascorbate, which reacts with MPO-derived hypochlorous acid (HOCl) to form dehydro-ascorbate. The loss of ascorbate is followed by measuring absorbance at 260 nm.Assay buffer: 100 μM diethyl triamine pentaacetic acid (DTPA) in buffer consisting of 10 mM Na2HPO4/NaH2PO4, 3 mM KCl in 140 mM NaCl, pH 7.4.Enzyme solution: MPO purified from the human cell line HL60, 1.38 nM (final concentration 0.7 nM) and L-ascorbate, 100 μM (final concentration 50 μM) in Assay bufferSubstrate solution: H2O2, 98 μM (final concentration 49 μM) Forty μL of the enzyme solution was added to 0.6 μL compound serially diluted in DMSO. Absorbance was measured at 260 nm to obtain a compound blank value. After an additional 10 min, 40 μL of the substrate solution was added and the absorbance at 260 nm was recorded between 4 and 40 min to obtain kinetic readings of enzyme activity.",Myeloperoxidase
CHEMBL5172456,NCc1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,C14H13ClN4OS,15.0,7.82,"Inhibitory Activity: The pharmacological activity of compounds disclosed herein was tested in the following screen (Test A) in which the compounds were tested in the presence of ascorbate, which reacts with MPO-derived hypochlorous acid (HOCl) to form dehydro-ascorbate. The loss of ascorbate is followed by measuring absorbance at 260 nm.Assay buffer: 100 μM diethyl triamine pentaacetic acid (DTPA) in buffer consisting of 10 mM Na2HPO4/NaH2PO4, 3 mM KCl in 140 mM NaCl, pH 7.4.Enzyme solution: MPO purified from the human cell line HL60, 1.38 nM (final concentration 0.7 nM) and L-ascorbate, 100 μM (final concentration 50 μM) in Assay bufferSubstrate solution: H2O2, 98 μM (final concentration 49 μM) Forty μL of the enzyme solution was added to 0.6 μL compound serially diluted in DMSO. Absorbance was measured at 260 nm to obtain a compound blank value. After an additional 10 min, 40 μL of the substrate solution was added and the absorbance at 260 nm was recorded between 4 and 40 min to obtain kinetic readings of enzyme activity.",Myeloperoxidase
