chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name,inchi,inchi_key
CHEMBL11359,,H6Cl2N2Pt+2,71000.0,4.15,Cytotoxicity against breast carcinoma MCF-7 tumor cell lines,MCF7,,
CHEMBL11359,,H6Cl2N2Pt+2,80000.0,,Cytotoxicity against lung carcinoma COR-L23/CTR tumor cell lines,COR-L23,,
CHEMBL11359,,H6Cl2N2Pt+2,4000.0,5.4,Cytotoxicity against ovarian carcinoma A2780 tumor cell lines,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,40000.0,4.4,Cytotoxicity against ovarian carcinoma A2780/cis tumor cell lines,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,80000.0,,Cytotoxicity against ovarian carcinoma A2780/cis90 tumor cell lines,A2780,,
CHEMBL2068468,,C9H20Cl2N2Pt,22000.0,4.66,Inhibitory concentration was measured on human bladder cell line,Homo sapiens,,
CHEMBL608256,,C19H25ClN6PtS,130.0,6.89,Cytotoxicity against HL-60 leukemia cells,HL-60,,
CHEMBL608255,,C17H20ClN5PtS,75000.0,4.12,Cytotoxicity against HL-60 leukemia cells,HL-60,,
CHEMBL96737,,C32H25N8O3Pt2S+7,5700.0,5.24,50% Growth inhibition on NCH37 glioma cell lines,NCH82,,
CHEMBL96737,,C32H25N8O3Pt2S+7,3900.0,5.41,50% Growth inhibition on NCH82 glioma cell lines,NCH37,,
CHEMBL96737,,C32H25N8O3Pt2S+7,2500.0,5.6,50% Growth inhibition on NCH89 glioma cell lines,NCH89,,
CHEMBL96737,,C32H25N8O3Pt2S+7,4800.0,5.32,50% Growth inhibition on HNO97 head and neck squamous carcinoma cell lines,HNO 97 cell line,,
CHEMBL94699,,C20H14ClN5O3PtS+3,10500.0,4.98,50% Growth inhibition on NCH37 glioma cell lines,NCH82,,
CHEMBL94699,,C20H14ClN5O3PtS+3,7400.0,5.13,50% Growth inhibition on NCH82 glioma cell lines,NCH37,,
CHEMBL94699,,C20H14ClN5O3PtS+3,2500.0,5.6,50% Growth inhibition on NCH89 glioma cell lines,NCH89,,
