chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name,inchi,inchi_key
CHEMBL72647,,C12H24O2PtS4,19000.0,4.72,Cytotoxic activity was determined in vitro in MCF-7 cell line culture at pH 6.8,MCF7,,
CHEMBL72647,,C12H24O2PtS4,27000.0,4.57,Cytotoxic activity was determined in vitro in MCF-7 cell line culture at pH 7.4,MCF7,,
CHEMBL72647,,C12H24O2PtS4,9000.0,5.05,Cytotoxic activity was determined in vitro in Calu-6 cell line culture at pH 6.8,Calu-6,,
CHEMBL72647,,C12H24O2PtS4,19000.0,4.72,Cytotoxic activity was determined in vitro in Calu-6 cell line culture at pH 7.4,Calu-6,,
CHEMBL72647,,C12H24O2PtS4,19000.0,4.72,Cytotoxic activity was determined in vitro in LXF-289 cell line culture at pH 6.8,LXF-289 cell line,,
CHEMBL72647,,C12H24O2PtS4,44000.0,4.36,Cytotoxic activity was determined in vitro in LXF-289 cell line culture at pH 7.4,LXF-289 cell line,,
CHEMBL72647,,C12H24O2PtS4,17000.0,4.77,Cytotoxic activity was determined in vitro in SK-MEL-25 cell line culture at pH 6.8,SK-MEL-25,,
CHEMBL72647,,C12H24O2PtS4,32000.0,4.5,Cytotoxic activity was determined in vitro in SK-MEL-25 cell line culture at pH 7.4,SK-MEL-25,,
CHEMBL72647,,C12H24O2PtS4,23000.0,4.64,Cytotoxic activity was determined in vitro in SK-OV-3 cell line culture at pH 6.8,SK-OV-3,,
CHEMBL72647,,C12H24O2PtS4,35000.0,4.46,Cytotoxic activity was determined in vitro in SK-OV-3 cell line culture at pH 7.4,SK-OV-3,,
CHEMBL72647,,C12H24O2PtS4,31000.0,4.51,Cytotoxic activity was determined in vitro in KB cell line culture at pH 6.8,KB,,
CHEMBL72647,,C12H24O2PtS4,39000.0,4.41,Cytotoxic activity was determined in vitro in KB cell line culture at pH 7.4,KB,,
CHEMBL413296,,C14H28O2PtS4,7000.0,5.16,Cytotoxic activity was determined in vitro in MCF-7 cell line culture at pH 6.8,MCF7,,
CHEMBL413296,,C14H28O2PtS4,9000.0,5.05,Cytotoxic activity was determined in vitro in MCF-7 cell line culture at pH 7.4,MCF7,,
CHEMBL413296,,C14H28O2PtS4,9000.0,5.05,Cytotoxic activity was determined in vitro in Calu-6 cell line culture at pH 6.8,Calu-6,,
CHEMBL413296,,C14H28O2PtS4,9000.0,5.05,Cytotoxic activity was determined in vitro in Calu-6 cell line culture at pH 7.4,Calu-6,,
CHEMBL413296,,C14H28O2PtS4,15000.0,4.82,Cytotoxic activity was determined in vitro in LXF-289 cell line culture at pH 6.8,LXF-289 cell line,,
CHEMBL413296,,C14H28O2PtS4,18000.0,4.75,Cytotoxic activity was determined in vitro in LXF-289 cell line culture at pH 7.4,LXF-289 cell line,,
CHEMBL413296,,C14H28O2PtS4,10000.0,5.0,Cytotoxic activity was determined in vitro in SK-MEL-25 cell line culture at pH 6.8,SK-MEL-25,,
CHEMBL413296,,C14H28O2PtS4,11000.0,4.96,Cytotoxic activity was determined in vitro in SK-MEL-25 cell line culture at pH 7.4,SK-MEL-25,,
CHEMBL413296,,C14H28O2PtS4,18000.0,4.75,Cytotoxic activity was determined in vitro in SK-OV-3 cell line culture at pH 6.8,SK-OV-3,,
CHEMBL413296,,C14H28O2PtS4,34000.0,4.47,Cytotoxic activity was determined in vitro in SK-OV-3 cell line culture at pH 7.4,SK-OV-3,,
CHEMBL413296,,C14H28O2PtS4,5000.0,5.3,Cytotoxic activity was determined in vitro in KB cell line culture at pH 6.8,KB,,
CHEMBL413296,,C14H28O2PtS4,7000.0,5.16,Cytotoxic activity was determined in vitro in KB cell line culture at pH 7.4,KB,,
CHEMBL72018,,C8H16O2PtS4,4000.0,5.4,Cytotoxic activity was determined in vitro in MCF-7 cell line culture at pH 6.8,MCF7,,
CHEMBL72018,,C8H16O2PtS4,9000.0,5.05,Cytotoxic activity was determined in vitro in MCF-7 cell line culture at pH 7.4,MCF7,,
CHEMBL72018,,C8H16O2PtS4,7000.0,5.16,Cytotoxic activity was determined in vitro in Calu-6 cell line culture at pH 6.8,Calu-6,,
CHEMBL72018,,C8H16O2PtS4,21000.0,4.68,Cytotoxic activity was determined in vitro in Calu-6 cell line culture at pH 7.4,Calu-6,,
CHEMBL72018,,C8H16O2PtS4,37000.0,4.43,Cytotoxic activity was determined in vitro in LXF-289 cell line culture at pH 6.8,LXF-289 cell line,,
CHEMBL72018,,C8H16O2PtS4,49000.0,4.31,Cytotoxic activity was determined in vitro in LXF-289 cell line culture at pH 7.4,LXF-289 cell line,,
CHEMBL72018,,C8H16O2PtS4,10000.0,5.0,Cytotoxic activity was determined in vitro in SK-MEL-25 cell line culture at pH 6.8,SK-MEL-25,,
CHEMBL72018,,C8H16O2PtS4,21000.0,4.68,Cytotoxic activity was determined in vitro in SK-MEL-25 cell line culture at pH 7.4,SK-MEL-25,,
CHEMBL72018,,C8H16O2PtS4,45000.0,4.35,Cytotoxic activity was determined in vitro in SK-OV-3 cell line culture at pH 6.8,SK-OV-3,,
CHEMBL72018,,C8H16O2PtS4,50000.0,4.3,Cytotoxic activity was determined in vitro in SK-OV-3 cell line culture at pH 7.4,SK-OV-3,,
CHEMBL72018,,C8H16O2PtS4,12000.0,4.92,Cytotoxic activity was determined in vitro in KB cell line culture at pH 6.8,KB,,
CHEMBL72018,,C8H16O2PtS4,38000.0,4.42,Cytotoxic activity was determined in vitro in KB cell line culture at pH 7.4,KB,,
CHEMBL308963,,C10H20O2PtS4,7000.0,5.16,Cytotoxic activity was determined in vitro in MCF-7 cell line culture at pH 6.8,MCF7,,
CHEMBL308963,,C10H20O2PtS4,25000.0,4.6,Cytotoxic activity was determined in vitro in MCF-7 cell line culture at pH 7.4,MCF7,,
CHEMBL308963,,C10H20O2PtS4,7000.0,5.16,Cytotoxic activity was determined in vitro in Calu-6 cell line culture at pH 6.8,Calu-6,,
CHEMBL308963,,C10H20O2PtS4,19000.0,4.72,Cytotoxic activity was determined in vitro in Calu-6 cell line culture at pH 7.4,Calu-6,,
CHEMBL308963,,C10H20O2PtS4,24000.0,4.62,Cytotoxic activity was determined in vitro in LXF-289 cell line culture at pH 6.8,LXF-289 cell line,,
CHEMBL308963,,C10H20O2PtS4,39000.0,4.41,Cytotoxic activity was determined in vitro in LXF-289 cell line culture at pH 7.4,LXF-289 cell line,,
CHEMBL308963,,C10H20O2PtS4,10000.0,5.0,Cytotoxic activity was determined in vitro in SK-MEL-25 cell line culture at pH 6.8,SK-MEL-25,,
CHEMBL308963,,C10H20O2PtS4,22000.0,4.66,Cytotoxic activity was determined in vitro in SK-MEL-25 cell line culture at pH 7.4,SK-MEL-25,,
CHEMBL308963,,C10H20O2PtS4,33000.0,4.48,Cytotoxic activity was determined in vitro in SK-OV-3 cell line culture at pH 6.8,SK-OV-3,,
CHEMBL308963,,C10H20O2PtS4,90000.0,4.05,Cytotoxic activity was determined in vitro in SK-OV-3 cell line culture at pH 7.4,SK-OV-3,,
CHEMBL308963,,C10H20O2PtS4,16000.0,4.8,Cytotoxic activity was determined in vitro in KB cell line culture at pH 6.8,KB,,
CHEMBL308963,,C10H20O2PtS4,32000.0,4.5,Cytotoxic activity was determined in vitro in KB cell line culture at pH 7.4,KB,,
CHEMBL11359,,H6Cl2N2Pt+2,25000.0,4.6,Cytotoxicity against human promyelocytic leukemia cell line HL-60 (obtained by MTT assay).,HL-60,,
CHEMBL11359,,H6Cl2N2Pt+2,7000.0,5.16,Cytotoxicity against human acute T-cell leukemia cell line JURKAT (obtained by MTT assay).,Jurkat,,
CHEMBL11359,,H6Cl2N2Pt+2,38000.0,4.42,Cytotoxicity against human cervix epithelial carcinoma cell line HeLa (obtained by MTT assay).,HeLa,,
CHEMBL72867,,C6H12O2PtS4,12000.0,4.92,Cytotoxic activity was determined in vitro in MCF-7 cell line culture at pH 6.8,MCF7,,
CHEMBL72867,,C6H12O2PtS4,47000.0,4.33,Cytotoxic activity was determined in vitro in MCF-7 cell line culture at pH 7.4,MCF7,,
CHEMBL72867,,C6H12O2PtS4,21000.0,4.68,Cytotoxic activity was determined in vitro in Calu-6 cell line culture at pH 6.8,Calu-6,,
CHEMBL72867,,C6H12O2PtS4,24000.0,4.62,Cytotoxic activity was determined in vitro in Calu-6 cell line culture at pH 7.4,Calu-6,,
CHEMBL72867,,C6H12O2PtS4,45000.0,4.35,Cytotoxic activity was determined in vitro in LXF-289 cell line culture at pH 6.8,LXF-289 cell line,,
CHEMBL72867,,C6H12O2PtS4,91000.0,4.04,Cytotoxic activity was determined in vitro in LXF-289 cell line culture at pH 7.4,LXF-289 cell line,,
CHEMBL72867,,C6H12O2PtS4,21000.0,4.68,Cytotoxic activity was determined in vitro in SK-MEL-25 cell line culture at pH 6.8,SK-MEL-25,,
CHEMBL72867,,C6H12O2PtS4,56000.0,4.25,Cytotoxic activity was determined in vitro in SK-MEL-25 cell line culture at pH 7.4,SK-MEL-25,,
CHEMBL72867,,C6H12O2PtS4,86000.0,4.07,Cytotoxic activity was determined in vitro in SK-OV-3 cell line culture at pH 6.8,SK-OV-3,,
CHEMBL72867,,C6H12O2PtS4,98000.0,4.01,Cytotoxic activity was determined in vitro in SK-OV-3 cell line culture at pH 7.4,SK-OV-3,,
CHEMBL72867,,C6H12O2PtS4,18000.0,4.75,Cytotoxic activity was determined in vitro in KB cell line culture at pH 6.8,KB,,
CHEMBL72867,,C6H12O2PtS4,58000.0,4.24,Cytotoxic activity was determined in vitro in KB cell line culture at pH 7.4,KB,,
CHEMBL2146193,,C6H18Cl2N2Pt,20000.0,4.7,Cytotoxicity against human promyelocytic leukemia cell line HL-60 (obtained by MTT assay).,HL-60,,
CHEMBL2146193,,C6H18Cl2N2Pt,5000.0,5.3,Cytotoxicity against human acute T-cell leukemia cell line JURKAT (obtained by MTT assay).,Jurkat,,
CHEMBL2146193,,C6H18Cl2N2Pt,43000.0,4.37,Cytotoxicity against human cervix epithelial carcinoma cell line HeLa (obtained by MTT assay).,HeLa,,
CHEMBL608257,,C10H10F6IOsP,196000.0,,Antiproliferative effect against human U937 histiocytic lymphoma cells,U-937,,
CHEMBL608257,,C10H10F6IOsP,75000.0,4.12,Antiproliferative effect against human HL60 promyelocytic leukemia cells,HL-60,,
CHEMBL608257,,C10H10F6IOsP,79000.0,4.1,Antiproliferative effect against human Daudi Burkitt lymphoma cells,Daudi,,
CHEMBL608257,,C10H10F6IOsP,200000.0,,Antiproliferative effect against human COLO 320 colon adenocarcinoma cells,COLO 320,,
CHEMBL11359,,H6Cl2N2Pt+2,3.5,8.46,Antiproliferative activity in HeLa cells of Human cervix carcinoma,HeLa,,
CHEMBL611195,,C10H10BF4Os,148000.0,,Antiproliferative effect against human U937 histiocytic lymphoma cells,U-937,,
CHEMBL611195,,C10H10BF4Os,90000.0,4.05,Antiproliferative effect against human HL60 promyelocytic leukemia cells,HL-60,,
CHEMBL611195,,C10H10BF4Os,53000.0,4.28,Antiproliferative effect against human Daudi Burkitt lymphoma cells,Daudi,,
CHEMBL611195,,C10H10BF4Os,180000.0,,Antiproliferative effect against human COLO 320 colon adenocarcinoma cells,COLO 320,,
CHEMBL11359,,H6Cl2N2Pt+2,5200.0,5.28,Antiproliferative effect against human U937 histiocytic lymphoma cells,U-937,,
CHEMBL11359,,H6Cl2N2Pt+2,4300.0,5.37,Antiproliferative effect against human HL60 promyelocytic leukemia cells,HL-60,,
CHEMBL11359,,H6Cl2N2Pt+2,1700.0,5.77,Antiproliferative effect against human Daudi Burkitt lymphoma cells,Daudi,,
CHEMBL11359,,H6Cl2N2Pt+2,6600.0,5.18,Antiproliferative effect against human COLO 320 colon adenocarcinoma cells,COLO 320,,
CHEMBL611193,,C10H10ClF6OsP,14800.0,4.83,Antiproliferative effect against human U937 histiocytic lymphoma cells,U-937,,
CHEMBL611193,,C10H10ClF6OsP,11200.0,4.95,Antiproliferative effect against human HL60 promyelocytic leukemia cells,HL-60,,
CHEMBL611193,,C10H10ClF6OsP,7900.0,5.1,Antiproliferative effect against human Daudi Burkitt lymphoma cells,Daudi,,
CHEMBL611193,,C10H10ClF6OsP,14600.0,4.84,Antiproliferative effect against human COLO 320 colon adenocarcinoma cells,COLO 320,,
CHEMBL611191,,C10H10BrF6OsP,60000.0,4.22,Antiproliferative effect against human U937 histiocytic lymphoma cells,U-937,,
CHEMBL611191,,C10H10BrF6OsP,52000.0,4.28,Antiproliferative effect against human HL60 promyelocytic leukemia cells,HL-60,,
CHEMBL611191,,C10H10BrF6OsP,24000.0,4.62,Antiproliferative effect against human Daudi Burkitt lymphoma cells,Daudi,,
CHEMBL611191,,C10H10BrF6OsP,48000.0,4.32,Antiproliferative effect against human COLO 320 colon adenocarcinoma cells,COLO 320,,
CHEMBL611194,,C10H10ClF6PRu,52000.0,4.28,Antiproliferative effect against human HL60 promyelocytic leukemia cells,HL-60,,
CHEMBL611194,,C10H10ClF6PRu,70000.0,4.16,Antiproliferative effect against human Daudi Burkitt lymphoma cells,Daudi,,
CHEMBL611194,,C10H10ClF6PRu,111000.0,,Antiproliferative effect against human COLO 320 colon adenocarcinoma cells,COLO 320,,
CHEMBL611192,,C10H10F6FeP,62000.0,4.21,Antiproliferative effect against human U937 histiocytic lymphoma cells,U-937,,
CHEMBL611192,,C10H10F6FeP,22000.0,4.66,Antiproliferative effect against human HL60 promyelocytic leukemia cells,HL-60,,
CHEMBL611192,,C10H10F6FeP,20000.0,4.7,Antiproliferative effect against human Daudi Burkitt lymphoma cells,Daudi,,
CHEMBL611192,,C10H10F6FeP,62000.0,4.21,Antiproliferative effect against human COLO 320 colon adenocarcinoma cells,COLO 320,,
CHEMBL6688,,C21H17B2BrF8N4Pt+4,5400.0,5.27,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL6688,,C21H17B2BrF8N4Pt+4,5500.0,5.26,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL6688,,C21H17B2BrF8N4Pt+4,1500.0,5.82,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL6688,,C21H17B2BrF8N4Pt+4,44000.0,4.36,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL6688,,C21H17B2BrF8N4Pt+4,50000.0,4.3,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL6688,,C21H17B2BrF8N4Pt+4,50000.0,4.3,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL405707,,C42H32N12O12Pt2+8,2050.0,5.69,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL405707,,C42H32N12O12Pt2+8,2150.0,5.67,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL405707,,C42H32N12O12Pt2+8,710.0,6.15,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL405707,,C42H32N12O12Pt2+8,25000.0,,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL405707,,C42H32N12O12Pt2+8,11000.0,4.96,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL405707,,C42H32N12O12Pt2+8,3500.0,5.46,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL407341,,C44H28Cl2N12O12Pt2+8,1300.0,5.89,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL407341,,C44H28Cl2N12O12Pt2+8,1750.0,5.76,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL407341,,C44H28Cl2N12O12Pt2+8,620.0,6.21,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL407341,,C44H28Cl2N12O12Pt2+8,680.0,6.17,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL407341,,C44H28Cl2N12O12Pt2+8,1400.0,5.85,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL6757,,C21H18B2F8N4Pt+4,14000.0,4.85,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL6757,,C21H18B2F8N4Pt+4,11000.0,4.96,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL6757,,C21H18B2F8N4Pt+4,4400.0,5.36,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL6757,,C21H18B2F8N4Pt+4,17000.0,4.77,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL6757,,C21H18B2F8N4Pt+4,100000.0,,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL6757,,C21H18B2F8N4Pt+4,20000.0,4.7,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL6397,,C21H18B2F8N4OPt+4,14000.0,4.85,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL6397,,C21H18B2F8N4OPt+4,12500.0,4.9,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL6397,,C21H18B2F8N4OPt+4,5000.0,5.3,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL6397,,C21H18B2F8N4OPt+4,40000.0,4.4,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL6397,,C21H18B2F8N4OPt+4,92000.0,4.04,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL6397,,C21H18B2F8N4OPt+4,17000.0,4.77,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL611723,,C15H16B2F8N3OPt+,12000.0,4.92,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL611723,,C15H16B2F8N3OPt+,18000.0,4.75,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL611723,,C15H16B2F8N3OPt+,14000.0,4.85,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL611723,,C15H16B2F8N3OPt+,8800.0,5.06,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL611723,,C15H16B2F8N3OPt+,7000.0,5.16,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL611723,,C15H16B2F8N3OPt+,9200.0,5.04,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL414155,,C50H50B4F16N12O2Pt2+8,48000.0,4.32,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL414155,,C50H50B4F16N12O2Pt2+8,46000.0,4.34,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL414155,,C50H50B4F16N12O2Pt2+8,58000.0,4.24,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL414155,,C50H50B4F16N12O2Pt2+8,17000.0,4.77,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL414155,,C50H50B4F16N12O2Pt2+8,10500.0,4.98,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL414155,,C50H50B4F16N12O2Pt2+8,100000.0,,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL415807,,C50H40Cl2N18O18Pt3+10,550.0,6.26,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL415807,,C50H40Cl2N18O18Pt3+10,810.0,6.09,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL415807,,C50H40Cl2N18O18Pt3+10,420.0,6.38,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL415807,,C50H40Cl2N18O18Pt3+10,13500.0,4.87,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL415807,,C50H40Cl2N18O18Pt3+10,20500.0,4.69,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL415807,,C50H40Cl2N18O18Pt3+10,1700.0,5.77,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL1351,,C6H12N2O4Pt,6200.0,5.21,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL1351,,C6H12N2O4Pt,14000.0,4.85,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL1351,,C6H12N2O4Pt,6000.0,5.22,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL1351,,C6H12N2O4Pt,35000.0,4.46,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL1351,,C6H12N2O4Pt,100000.0,,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL1351,,C6H12N2O4Pt,100000.0,,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL269099,,C21H17B2ClF8N4Pt+4,6350.0,5.2,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL269099,,C21H17B2ClF8N4Pt+4,6400.0,5.19,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL269099,,C21H17B2ClF8N4Pt+4,425.0,6.37,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL269099,,C21H17B2ClF8N4Pt+4,14500.0,4.84,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL269099,,C21H17B2ClF8N4Pt+4,14500.0,4.84,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL269099,,C21H17B2ClF8N4Pt+4,5600.0,5.25,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL11359,,H6Cl2N2Pt+2,4200.0,5.38,In vitro cytotoxicity against. ovarian carcinoma cell line SKOV-3.,SK-OV-3,,
CHEMBL11359,,H6Cl2N2Pt+2,160.0,6.8,In vitro cytotoxicity against. ovarian carcinoma cell line A2780.,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,6100.0,5.21,In vitro cytotoxicity against. ovarian carcinoma cell line A2780cisR (cisplatin resistant counter part of A2780).,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,29.0,7.54,In vitro cytotoxicity against ovarian carcinoma cell line CH1.,CH1,,
CHEMBL11359,,H6Cl2N2Pt+2,170.0,6.77,In vitro cytotoxicity against. ovarian carcinoma cell line CH1cisR (cisplatin resistant counter part of CH1).,CH1,,
CHEMBL415294,,C20H16B2F8N4Pt+4,17500.0,4.76,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL415294,,C20H16B2F8N4Pt+4,18000.0,4.75,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL415294,,C20H16B2F8N4Pt+4,5700.0,5.24,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL415294,,C20H16B2F8N4Pt+4,40000.0,4.4,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL415294,,C20H16B2F8N4Pt+4,100000.0,,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL415294,,C20H16B2F8N4Pt+4,24000.0,4.62,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL6811,,C28H24B2F8N4Pt+4,7200.0,5.14,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL6811,,C28H24B2F8N4Pt+4,8900.0,5.05,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL6811,,C28H24B2F8N4Pt+4,1500.0,5.82,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL6811,,C28H24B2F8N4Pt+4,27000.0,4.57,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL6811,,C28H24B2F8N4Pt+4,25000.0,4.6,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL6811,,C28H24B2F8N4Pt+4,900.0,6.05,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL6763,,C20H15B2BrF8N4Pt+4,2100.0,5.68,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL6763,,C20H15B2BrF8N4Pt+4,2100.0,5.68,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL6763,,C20H15B2BrF8N4Pt+4,850.0,6.07,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL6763,,C20H15B2BrF8N4Pt+4,5800.0,5.24,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL6763,,C20H15B2BrF8N4Pt+4,6700.0,5.17,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL6763,,C20H15B2BrF8N4Pt+4,9200.0,5.04,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL264844,,C56H36Cl2N12O12Pt2+8,2500.0,5.6,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL264844,,C56H36Cl2N12O12Pt2+8,3100.0,5.51,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL264844,,C56H36Cl2N12O12Pt2+8,8600.0,5.07,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL264844,,C56H36Cl2N12O12Pt2+8,12500.0,4.9,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL264844,,C56H36Cl2N12O12Pt2+8,2200.0,5.66,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL268353,,C18H14B2F8N4PtS+4,17000.0,4.77,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL268353,,C18H14B2F8N4PtS+4,17000.0,4.77,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL268353,,C18H14B2F8N4PtS+4,6300.0,5.2,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL268353,,C18H14B2F8N4PtS+4,18600.0,4.73,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL268353,,C18H14B2F8N4PtS+4,100000.0,,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
CHEMBL268353,,C18H14B2F8N4PtS+4,100000.0,,In vitro inhibition of human ovarian cell line SKOV-3.,SK-OV-3,,
CHEMBL321706,,C17H14B2F8N4Pt+4,18000.0,4.75,In vitro inhibition of human ovarian cell line (CH1),CH1,,
CHEMBL321706,,C17H14B2F8N4Pt+4,18500.0,4.73,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (CH1cisR).",CH1,,
CHEMBL321706,,C17H14B2F8N4Pt+4,13000.0,4.89,"In vitro inhibition of human ovarian cell line, resistant to doxorubicin (CH1doxR).",CH1,,
CHEMBL321706,,C17H14B2F8N4Pt+4,50000.0,4.3,In vitro inhibition of human ovarian cell line A2780,A2780,,
CHEMBL321706,,C17H14B2F8N4Pt+4,100000.0,4.0,"In vitro inhibition of human ovarian cell line, resistant to cisplatin (A2780cisR).",A2780,,
