"Compound ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"Np Likeness Score";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL4110270";"";"";"Small molecule";"";"761.03";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C27H42N8O2ReS2+4";"";"";"";"False";"-1";"['BDBM103915']";"['US8562945, 250']"
"CHEMBL194555";"Fe complex";"";"Small molecule";"";"506.21";"7";"14";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C25H21Cl2FeN3O";"";"";"";"False";"-1";"['1b']";"["N-{4-[4-(2,3-dichlorophenyl)piperazin-1-yl]butyl}-1-ferra-1,1'-spirobi[pentacyclo[2.2.0.0^{1,3}.0^{1,5}.0^{2,6}]hexane]-2,2',4,4'-tetraene-6-carboxamide"]"
"CHEMBL367377";"Co-Benz";"";"Small molecule";"";"458.19";"4";"8";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C16H20Co2O8";"";"";"";"False";"-1";"['Co-Benz']";"['Co-Benz']"
"CHEMBL319263";"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(1,1,3,3-tetramethyl butylamine)-platinium (IV)";"";"Small molecule";"";"444.26";"6";"14";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C8H22Cl2N2O2Pt";"";"";"";"False";"-1";"['33']";"['trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(1,1,3,3-tetramethyl butylamine)-platinium (IV)']"
"CHEMBL53329";"Bis (3-n-propyl-2,4-pentanedionato) (N,N-bis(2-chloroethyl)ethylenediamine)cobalt(III) Percholate";"";"Small molecule";"";"530.44";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C22H44Cl2CoN2O4";"";"";"";"False";"-1";"['17']";"['Bis (3-n-propyl-2,4-pentanedionato) (N,N-bis(2-chloroethyl)ethylenediamine)cobalt(III) Percholate']"
"CHEMBL330069";"Platinum complex";"";"Small molecule";"";"611.54";"2";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C19H20N4O5PtS+3";"";"";"";"False";"-1";"['4']";"["4-Mercaptoethanol-(2,2':6',4'-ethoxy,2''-terpyridine)platinum (II) Nitrate"]"
"CHEMBL266168";"Platinum complex";"";"Small molecule";"";"736.14";"6";"24";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C23H21B2F8N5Pt+4";"";"";"";"False";"-1";"['in table II; pg.no.1001', '4 (N(CH2CH2))']";"["(2,2':6',2''-terpyridine)platinum (II) complex", "4'-substituted 2,2':6,2''-Terpyridineplatinum (II) Picoline complexes"]"
"CHEMBL2068502";"Platinum (II) Dinuclear Complex";"";"Small molecule";"";"790.64";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C16H32N8O4Pt2";"";"";"";"False";"-1";"['1-propylthymine(dinuclear/H-H)']";"['Platinum (II) Dinuclear Complex']"
"CHEMBL441330";"(2,2':6',2''-terpyridine)platinum (II) complex";"";"Small molecule";"";"768.18";"6";"21";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C24H25B2F8N5OPt+4";"";"";"";"False";"-1";"['4 (NMe(CH2CH2OH))', 'in table II; pg.no.1001']";"["4'-substituted 2,2':6,2''-Terpyridineplatinum (II) Picoline complexes", "(2,2':6',2''-terpyridine)platinum (II) complex"]"
"CHEMBL106160";"Oxorhenium (V) AADT Complex";"";"Small molecule";"";"464.63";"3";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C10H20N3O2ReS2+";"";"";"";"False";"-1";"['1-Re']";"['Oxorhenium (V) AADT Complex']"
"CHEMBL171155";"Platinum (II) complex";"";"Small molecule";"";"441.30";"7";"8";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C9H14N2O6Pt";"";"";"";"False";"-1";"['11']";"['Platinum (II) complex']"
"CHEMBL70307";"Gold complex of (Bis(diphenylphosphino)alkane analogue)";"";"Small molecule";"";"887.38";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C18H16Au2Cl2P2S4";"";"";"";"False";"-1";"['6a']";"['Gold complex of (Bis(diphenylphosphino)alkane analogue)']"
"CHEMBL1433499";"";"";"Small molecule";"";"583.11";"7";"10";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C12H10Cl4N2O4Pt-2";"";"";"";"False";"-1";"['SID4253970']";"['SID4253970']"
"CHEMBL306145";"1-ferrocenyl-3-(3-Quinolinyl)-2-propen-1-one";"";"Small molecule";"";"367.23";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C22H17FeNO";"";"";"";"False";"-1";"['30']";"['1-ferrocenyl-3-(3-Quinolinyl)-2-propen-1-one']"
"CHEMBL1425520";"";"";"Small molecule";"";"189.12";"8";"11";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C10H10Co";"";"";"";"False";"-1";"['SID17389097', 'SID144209700']";"['SID17389097', 'SID144209700']"
