chembl_id,chemical_formula,pIC50,count_C,count_H,count_N,count_O,count_S,count_Cl,count_Br,count_F,count_I,metal_mass,metal_ionic_radius,metal_electronegativity,expected_coordination_num,is_Ruthenium,is_Rhodium,is_Platinum,unsaturation_index,N_C_ratio,O_C_ratio,calculated_molecular_weight
CHEMBL103570,C6H16Cl2N2O2Pt,5.52,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,4.52,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,4.78,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,5.46,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,5.5,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,6.24,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,5.7,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,6.1,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,5.72,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103721,C7H16Cl2N2Pt,5.66,7,16,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,1.0,0.2857142857142857,0.0,394.203
CHEMBL103721,C7H16Cl2N2Pt,5.41,7,16,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,1.0,0.2857142857142857,0.0,394.203
CHEMBL103721,C7H16Cl2N2Pt,6.11,7,16,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,1.0,0.2857142857142857,0.0,394.203
CHEMBL103721,C7H16Cl2N2Pt,6.32,7,16,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,1.0,0.2857142857142857,0.0,394.203
CHEMBL103721,C7H16Cl2N2Pt,6.42,7,16,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,1.0,0.2857142857142857,0.0,394.203
