chembl_id,chemical_formula,pIC50,count_C,count_H,count_N,count_O,count_S,count_Cl,count_Br,count_F,count_I,metal_mass,metal_ionic_radius,metal_electronegativity,expected_coordination_num,is_Ruthenium,is_Rhodium,is_Platinum,unsaturation_index,N_C_ratio,O_C_ratio,calculated_molecular_weight
CHEMBL1425520,C10H10Co,4.5,10,10,0,0,0,0,0,0,0,58.933,65,1.88,6,0,0,0,6.0,0.0,0.0,189.123
CHEMBL142618,C12H14Cl2N2Pt+2,4.31,12,14,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,7.0,0.1666666666666666,0.0,452.2420000000001
CHEMBL142978,C6H10Cl2N2Pt+2,4.31,6,10,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,3.0,0.3333333333333333,0.0,376.144
CHEMBL1433499,C12H10Cl4N2O4Pt-2,6.0,12,10,2,4,0,4,0,0,0,195.084,80,2.28,4,0,0,1,9.0,0.1666666666666666,0.3333333333333333,583.106
CHEMBL1466409,C10H10Fe,8.8,10,10,0,0,0,0,0,0,0,55.845,61,1.83,6,0,0,0,6.0,0.0,0.0,186.035
CHEMBL146966,C11H12AuN3S2+,4.29,11,12,3,0,2,0,0,0,0,196.967,137,2.54,2,0,0,0,7.5,0.2727272727272727,0.0,447.325
CHEMBL147203,C10H21N3O8P2Pt+,4.69,10,21,3,8,0,0,0,0,0,195.084,80,2.28,4,0,0,1,2.0,0.3,0.8,506.375
CHEMBL147416,C10H18Cl2N3Pt+3,5.26,10,18,3,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,3.5,0.3,0.0,446.259
CHEMBL1484870,C8H18ClNO2PtS-2,5.5,8,18,1,2,1,1,0,0,0,195.084,80,2.28,4,0,0,1,0.5,0.125,0.25,422.831
CHEMBL148734,C11H18Cl2N2Pt+2,5.35,11,18,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,4.0,0.1818181818181818,0.0,444.263
CHEMBL148800,C10H16Cl2N3Pt+,5.0,10,16,3,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,4.5,0.3,0.0,444.24299999999994
CHEMBL149255,C11H12AuNO4+,4.39,11,12,1,4,0,0,0,0,0,196.967,137,2.54,2,0,0,0,6.5,0.0909090909090909,0.3636363636363636,419.1869999999999
CHEMBL150105,C13H18AuNO4+,4.35,13,18,1,4,0,0,0,0,0,196.967,137,2.54,2,0,0,0,5.5,0.0769230769230769,0.3076923076923077,449.257
CHEMBL150157,C19H23Cl4N5OPtS,7.14,19,23,5,1,1,4,0,0,0,195.084,80,2.28,4,0,0,1,11.0,0.2631578947368421,0.0526315789473684,706.3710000000001
CHEMBL1512479,C15H15ClN4PdS-6,5.5,15,15,4,0,1,1,0,0,0,106.42,86,2.2,4,0,0,0,10.5,0.2666666666666666,0.0,425.243
