chembl_id,chemical_formula,target_name,pIC50,canonical_smiles,pref_name
CHEMBL1627733,C30H44Cl2N2O3Pt,A2780,4.82,,Estrogen platinum (II) hybrid derivative
CHEMBL1627734,C34H52Cl2N2O3Pt,A2780,5.595000000000001,,Estrogen platinum (II) hybrid derivative
CHEMBL1627737,C32H48Cl2N2O3Pt,A2780,5.43,,Estrogen platinum (II) hybrid derivative
CHEMBL1627738,C31H46Cl2N2O3Pt,A2780,4.78,,Estrogen platinum (II) hybrid derivative
CHEMBL1627740,C29H42Cl2N2O3Pt,A2780,4.57,,Platinum complex
CHEMBL1627993,C36H56Cl2N2O3Pt,A2780,5.705,,Estrogen platinum (II) hybrid derivative
CHEMBL164788,C14H24Cl2N2O4Pt,A2780,5.4,,Platinum(IV) Complex
CHEMBL174577,C12H22ClF6N2PRu,A2780,5.05,,[(nu6-p-cymene)RuCl(ethylenediamine)]PF6
CHEMBL174682,C12H22F6IN2PRu,A2780,5.1,,[(nu6-p-cymene)RuI(ethylenediamine)]PF6
CHEMBL174841,C14H18ClF6N2PRu,A2780,5.22,,Ruthenium complex
CHEMBL175093,C8H14ClF6N2PRu,A2780,4.77,,[(nu6-C6H6)RuCl(ethylenediamine)]PF6
CHEMBL175505,C6H12Cl2N2Pt,A2780,5.1,,Cis-Platinum (II) Conjugate
CHEMBL175535,C9H18N2O4Pt+2,A2780,5.64,,Cis-Platinum (II) Conjugate
CHEMBL175844,C12H22N2O4Pt+2,A2780,5.33,,Cis-Platinum (II) Conjugate
CHEMBL176766,C12H18N2O4Pt,A2780,5.6,,Cis-Platinum (II) Conjugate
CHEMBL177920,C8H12N2O4Pt,A2780,5.04,,Cis-Platinum (II) Conjugate
CHEMBL177971,C6H16Cl2N2Pt+2,A2780,4.955,,Cis-Platinum (II) Conjugate
CHEMBL179236,C6H14Cl2N2Pt+2,A2780,4.995,,Cis-Platinum (II) Conjugate
CHEMBL186705,C6H8Cl2N2Pt+2,A2780,5.38,,Estrogen platinum (II) hybrid derivative
CHEMBL187543,C21H15Cl3N6Ru,SK-OV-3,5.58,,Ruthenium complex
CHEMBL190065,C14H10Cl4N4Ru-,SK-OV-3,4.18,,Ruthenium complex
CHEMBL194376,C13H16N2O4Pt,41M,4.66,,trans-[Pt(OAc)2(NH3)(quin)]
CHEMBL194376,C13H16N2O4Pt,A2780,4.89,,trans-[Pt(OAc)2(NH3)(quin)]
CHEMBL194376,C13H16N2O4Pt,CH1,4.77,,trans-[Pt(OAc)2(NH3)(quin)]
CHEMBL196628,C14H16N2O4Pt,41M,4.85,,trans-[Pt(OAc)2(py)2]
CHEMBL196628,C14H16N2O4Pt,A2780,4.89,,trans-[Pt(OAc)2(py)2]
CHEMBL196628,C14H16N2O4Pt,CH1,4.72,,trans-[Pt(OAc)2(py)2]
CHEMBL2068288,C12H20N2O5Pt,SK-OV-3,4.2,,Platinum complex
CHEMBL2068310,C8H20Cl4N2O2Pt,A2780,5.66,,Tetrachlorodi(4-hydroxybutylamine)platinum(IV)
CHEMBL2068310,C8H20Cl4N2O2Pt,SK-OV-3,5.4,,Tetrachlorodi(4-hydroxybutylamine)platinum(IV)
CHEMBL2068312,C8H16Cl2N2O5Pt,A2780,5.55,,Dichloro diacetyl oxy-(amino ethylamino ethanol) platinum
CHEMBL2068312,C8H16Cl2N2O5Pt,SK-OV-3,4.62,,Dichloro diacetyl oxy-(amino ethylamino ethanol) platinum
CHEMBL2068314,C8H16Cl2N2O6Pt,SK-OV-3,5.0,,Dichlorodiacetyl oxy-(ammino acetoxy ethylammino ethanol) platinum (II)
CHEMBL2068316,C6H16Cl4N2O2Pt,A2780,5.8,,Tetrachlorodi(3-hydroxypropylamine)platinum(IV)
CHEMBL2068316,C6H16Cl4N2O2Pt,SK-OV-3,5.0,,Tetrachlorodi(3-hydroxypropylamine)platinum(IV)
CHEMBL2068372,C7H17Cl2N3Pt,41M,4.42,,trans-ptcl2(IPA)(pz)
CHEMBL2068372,C7H17Cl2N3Pt,A2780,4.85,,trans-ptcl2(IPA)(pz)
CHEMBL2068372,C7H17Cl2N3Pt,CH1,4.65,,trans-ptcl2(IPA)(pz)
CHEMBL2068376,C8H19Cl2N3Pt,41M,4.41,,trans-ptcl2(n-butyl amine)(pz)
CHEMBL2068376,C8H19Cl2N3Pt,A2780,4.8,,trans-ptcl2(n-butyl amine)(pz)
CHEMBL2068376,C8H19Cl2N3Pt,CH1,4.744999999999999,,trans-ptcl2(n-butyl amine)(pz)
CHEMBL2068447,C14H24N2O5Pt,SK-OV-3,4.11,,Platinum analogues of DemethylCantharidin
CHEMBL2068449,C14H20N2O5Pt,SK-OV-3,4.38,,Platinum analogues of DemethylCantharidin
CHEMBL2068452,C8H20Cl2N2O2Pt,SK-OV-3,4.64,,Dichlorodi(4-hydroxybutylamine)platinum (II)
CHEMBL2068454,C6H16Cl2N2O2Pt,SK-OV-3,4.7,,Dichlorodi(3-hydroxypropylamine)platinum (II)
CHEMBL2068458,C10H20Cl2N2O6Pt,SK-OV-3,4.66,,Dichlorodiacetyl oxy-(ammino acetoxy butylammino ethanol) platinum (II)
CHEMBL2068480,C8H18Cl2N4Pt,41M,4.37,,Platinum complex
CHEMBL2068480,C8H18Cl2N4Pt,A2780,4.77,,Platinum complex
CHEMBL2068480,C8H18Cl2N4Pt,CH1,4.43,,Platinum complex
CHEMBL2068496,C9H19Cl2N3Pt,41M,4.43,,trans-ptcl2(pip)(pz)
CHEMBL2068496,C9H19Cl2N3Pt,A2780,4.75,,trans-ptcl2(pip)(pz)
CHEMBL2068496,C9H19Cl2N3Pt,CH1,4.365,,trans-ptcl2(pip)(pz)
CHEMBL2068551,C8H12N2O5Pt,SK-OV-3,4.39,,Platinum analogues of DemethylCantharidin
CHEMBL2068563,C10H16N2O5Pt,SK-OV-3,4.43,,Platinum analogues of DemethylCantharidin
CHEMBL213916,C50H42N18O18Pt3+10,A2780,5.734999999999999,,"4'-chloro-2,2':6,2''-Terpyridineplatinum (II) complex"
CHEMBL213916,C50H42N18O18Pt3+10,CH1,5.85,,"4'-chloro-2,2':6,2''-Terpyridineplatinum (II) complex"
CHEMBL213916,C50H42N18O18Pt3+10,SK-OV-3,5.29,,"4'-chloro-2,2':6,2''-Terpyridineplatinum (II) complex"
CHEMBL2146185,C15H11B2ClF8N3Pt-,A2780,4.35,,Platinum complex
CHEMBL2146185,C15H11B2ClF8N3Pt-,CH1,5.19,,Platinum complex
CHEMBL2146185,C15H11B2ClF8N3Pt-,SK-OV-3,4.71,,Platinum complex
CHEMBL2146195,C30H26Cl2N4O4Pt,A2780,6.35,,Platinum complex
CHEMBL2146195,C30H26Cl2N4O4Pt,CH1,6.46,,Platinum complex
CHEMBL2146196,C8H16Cl2N2O2Pt,SK-OV-3,5.11,,"cis-Dichloro[(2S,3R,4S)-2-aminomethyl-3,4-(O-isopropylidene)dihydrxypyrrolidine]platinum (II)"
CHEMBL217343,C42H32B4F16N8Pt2+8,A2780,5.71,,Platinum complex
CHEMBL217343,C42H32B4F16N8Pt2+8,CH1,5.87,,Platinum complex
CHEMBL217343,C42H32B4F16N8Pt2+8,SK-OV-3,5.89,,Platinum complex
CHEMBL217630,C48H46B4F16N12O2Pt2+8,A2780,4.5600000000000005,,Platinum complex
CHEMBL217630,C48H46B4F16N12O2Pt2+8,CH1,4.38,,Platinum complex
CHEMBL217630,C48H46B4F16N12O2Pt2+8,SK-OV-3,4.01,,Platinum complex
CHEMBL262033,C44H30N12O12Pt2+8,A2780,5.725,,Platinum complex
CHEMBL262033,C44H30N12O12Pt2+8,CH1,6.14,,Platinum complex
CHEMBL262033,C44H30N12O12Pt2+8,SK-OV-3,5.77,,Platinum complex
CHEMBL264844,C56H36Cl2N12O12Pt2+8,A2780,4.985,,Platinum complex
CHEMBL264844,C56H36Cl2N12O12Pt2+8,CH1,5.555,,Platinum complex
CHEMBL264844,C56H36Cl2N12O12Pt2+8,SK-OV-3,5.66,,Platinum complex
CHEMBL265995,C40H30N12O12Pt2+8,A2780,5.02,,Platinum complex
CHEMBL265995,C40H30N12O12Pt2+8,CH1,5.81,,Platinum complex
CHEMBL265995,C40H30N12O12Pt2+8,SK-OV-3,5.51,,Platinum complex
CHEMBL266168,C23H21B2F8N5Pt+4,A2780,4.23,,Platinum complex
CHEMBL266168,C23H21B2F8N5Pt+4,CH1,4.87,,Platinum complex
CHEMBL266168,C23H21B2F8N5Pt+4,SK-OV-3,4.1,,Platinum complex
CHEMBL266471,C27H21B2BrF8N4Pt+4,A2780,4.470000000000001,,"(2,2':6',2''-terpyridine)platinum (II) complex"
CHEMBL266471,C27H21B2BrF8N4Pt+4,CH1,5.3,,"(2,2':6',2''-terpyridine)platinum (II) complex"
CHEMBL266733,C22H18B2F8N4OPt+4,A2780,5.175000000000001,,Platinum complex
CHEMBL266733,C22H18B2F8N4OPt+4,CH1,5.66,,Platinum complex
CHEMBL266733,C22H18B2F8N4OPt+4,SK-OV-3,4.96,,Platinum complex
CHEMBL267638,C21H20B2F8N6Pt+4,A2780,4.48,,Platinum complex
CHEMBL267638,C21H20B2F8N6Pt+4,CH1,4.515000000000001,,Platinum complex
CHEMBL267704,C20H15B2F9N4Pt+4,A2780,4.67,,"(2,2':6',2''-terpyridine)platinum (II) complex"
CHEMBL267704,C20H15B2F9N4Pt+4,CH1,4.85,,"(2,2':6',2''-terpyridine)platinum (II) complex"
CHEMBL269099,C21H17B2ClF8N4Pt+4,A2780,4.84,,Platinum complex
CHEMBL269099,C21H17B2ClF8N4Pt+4,CH1,5.2,,Platinum complex
CHEMBL269099,C21H17B2ClF8N4Pt+4,SK-OV-3,5.25,,Platinum complex
CHEMBL269100,C22H20B2F8N4OPt+4,A2780,4.3100000000000005,,"4'-substituted 2,2':6,2''-Terpyridineplatinum (II) Picoline complex"
CHEMBL269100,C22H20B2F8N4OPt+4,CH1,4.81,,"4'-substituted 2,2':6,2''-Terpyridineplatinum (II) Picoline complex"
CHEMBL269100,C22H20B2F8N4OPt+4,SK-OV-3,4.35,,"4'-substituted 2,2':6,2''-Terpyridineplatinum (II) Picoline complex"
CHEMBL295047,C23H20Cl3N8O6Ru-,A2780,4.965,,beta-[Ru(azpy)2(NO3)2] CHCl3
CHEMBL295087,C19H18AuF6N2OP+,A2780,5.285,,"8,8-dimethyl-8,12b-dihydro-7b,12c-diazoniabenzo[a]aceanthrylen-12b-ol(gold(III)complex) with Phosphorous hexa fluoride"
CHEMBL295087,C19H18AuF6N2OP+,SK-OV-3,4.88,,"8,8-dimethyl-8,12b-dihydro-7b,12c-diazoniabenzo[a]aceanthrylen-12b-ol(gold(III)complex) with Phosphorous hexa fluoride"
CHEMBL295522,C10H10AuF6N2O2P+,A2780,4.84,,"pyrido[1',2':3,4]imidazo[1,5-a]pyridinediium-6,6-diol(gold(III)complex) with Phosphorous hexa fluoride"
CHEMBL295522,C10H10AuF6N2O2P+,SK-OV-3,4.46,,"pyrido[1',2':3,4]imidazo[1,5-a]pyridinediium-6,6-diol(gold(III)complex) with Phosphorous hexa fluoride"
CHEMBL298410,C23H20Cl5N6Ru+3,A2780,5.47,,beta-[Ru(azpy)2Cl2] CHCl3
CHEMBL300621,C24H19N6O4Ru+3,A2780,5.2,,Ruthenium complex
CHEMBL308963,C10H20O2PtS4,SK-OV-3,4.265000000000001,,"2,6-dibutoxy-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane"
CHEMBL309353,C14H24O2PtS4,SK-OV-3,4.984999999999999,,"2,6-bis(cyclohexyloxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane"
CHEMBL317255,C7H16Cl2N2Pt,A2780,4.58,,trans-Amminedichloro(quinuclidine)platinium (II)
CHEMBL319263,C8H22Cl2N2O2Pt,41M,6.16,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(1,1,3,3-tetramethyl butylamine)-platinium (IV)"
CHEMBL319263,C8H22Cl2N2O2Pt,A2780,6.03,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(1,1,3,3-tetramethyl butylamine)-platinium (IV)"
CHEMBL319263,C8H22Cl2N2O2Pt,CH1,6.35,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(1,1,3,3-tetramethyl butylamine)-platinium (IV)"
CHEMBL319263,C8H22Cl2N2O2Pt,SK-OV-3,5.75,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(1,1,3,3-tetramethyl butylamine)-platinium (IV)"
CHEMBL319686,C12H26Cl2N2O2Pt,41M,6.01,,"trans-a,f-Dichloro-b,d-bis(cyclohexylamine)-c,e-dihydroxo-platinium (IV)"
CHEMBL319686,C12H26Cl2N2O2Pt,A2780,5.8,,"trans-a,f-Dichloro-b,d-bis(cyclohexylamine)-c,e-dihydroxo-platinium (IV)"
CHEMBL319686,C12H26Cl2N2O2Pt,CH1,6.24,,"trans-a,f-Dichloro-b,d-bis(cyclohexylamine)-c,e-dihydroxo-platinium (IV)"
CHEMBL319686,C12H26Cl2N2O2Pt,SK-OV-3,5.6,,"trans-a,f-Dichloro-b,d-bis(cyclohexylamine)-c,e-dihydroxo-platinium (IV)"
CHEMBL320447,C7H16Cl2N2Pt,41M,5.695,,Trans-Amminedichloro(cycloheptylamine)platinium (II)
CHEMBL320447,C7H16Cl2N2Pt,A2780,5.615,,Trans-Amminedichloro(cycloheptylamine)platinium (II)
CHEMBL320447,C7H16Cl2N2Pt,CH1,5.35,,Trans-Amminedichloro(cycloheptylamine)platinium (II)
CHEMBL320447,C7H16Cl2N2Pt,SK-OV-3,5.0,,Trans-Amminedichloro(cycloheptylamine)platinium (II)
CHEMBL320638,C10H22Cl2N2Pt,41M,6.115,,trans-(1-Aminoadamantane)Amminedichloro-platinium (II)
CHEMBL320638,C10H22Cl2N2Pt,A2780,6.125,,trans-(1-Aminoadamantane)Amminedichloro-platinium (II)
CHEMBL320638,C10H22Cl2N2Pt,CH1,6.525,,trans-(1-Aminoadamantane)Amminedichloro-platinium (II)
CHEMBL320638,C10H22Cl2N2Pt,SK-OV-3,5.82,,trans-(1-Aminoadamantane)Amminedichloro-platinium (II)
CHEMBL321706,C17H14B2F8N4Pt+4,A2780,4.15,,Platinum complex
CHEMBL321706,C17H14B2F8N4Pt+4,CH1,4.75,,Platinum complex
CHEMBL322013,C7H18Cl2N2O2Pt,41M,5.869999999999999,,Platinum complex
CHEMBL322013,C7H18Cl2N2O2Pt,A2780,5.904999999999999,,Platinum complex
CHEMBL322013,C7H18Cl2N2O2Pt,CH1,5.865,,Platinum complex
CHEMBL322013,C7H18Cl2N2O2Pt,SK-OV-3,5.41,,Platinum complex
CHEMBL322197,C7H16Cl4N2Pt,41M,4.79,,trans-Amminetetrachloro(quinuclidine)-platinium (IV)
CHEMBL322197,C7H16Cl4N2Pt,A2780,4.824999999999999,,trans-Amminetetrachloro(quinuclidine)-platinium (IV)
CHEMBL322197,C7H16Cl4N2Pt,CH1,4.81,,trans-Amminetetrachloro(quinuclidine)-platinium (IV)
CHEMBL322197,C7H16Cl4N2Pt,SK-OV-3,4.54,,trans-Amminetetrachloro(quinuclidine)-platinium (IV)
CHEMBL323516,C12H26Cl2N4O4Pt,41M,5.29,,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-bis-(ethylcarbamato)platinium (IV)"
CHEMBL323516,C12H26Cl2N4O4Pt,A2780,5.234999999999999,,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-bis-(ethylcarbamato)platinium (IV)"
CHEMBL323516,C12H26Cl2N4O4Pt,CH1,5.295,,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-bis-(ethylcarbamato)platinium (IV)"
CHEMBL323516,C12H26Cl2N4O4Pt,SK-OV-3,4.72,,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-bis-(ethylcarbamato)platinium (IV)"
CHEMBL324865,C18H14B2F8N5Pt+3,A2780,4.77,,Platinum complex
CHEMBL324865,C18H14B2F8N5Pt+3,CH1,4.81,,Platinum complex
CHEMBL326518,C15H11AuClN3+3,A2780,6.5649999999999995,,AU(TERPY)
CHEMBL332792,C10H20AuN4,A2780,4.0,,AUCYCLAM
CHEMBL347085,C12H14AuNO4+,A2780,5.1850000000000005,,"Malonato[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL347085,C12H14AuNO4+,CH1,5.525,,"Malonato[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL347085,C12H14AuNO4+,SK-OV-3,4.74,,"Malonato[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL34868,C7H10Cl2N2Pt+2,A2780,5.16,,Estrogen platinum (II) hybrid derivative
CHEMBL358664,C9H12AuCl2N+,A2780,4.71,,"Dichloro[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL358664,C9H12AuCl2N+,CH1,4.775,,"Dichloro[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL358664,C9H12AuCl2N+,SK-OV-3,4.35,,"Dichloro[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL365925,C28H20Cl2N8Ru+,SK-OV-3,6.2,,Ruthenium complex
CHEMBL368464,C16H22ClF6N2PRu,A2780,5.22,,[(nu6-C6H5C6H5)RuCl(N-ethylethylenediamine)]PF6
CHEMBL368607,C9H16N2O4Pt+2,A2780,5.64,,Cis-Platinum (II) Conjugate
CHEMBL368608,C12H20N2O4Pt+2,A2780,5.43,,Cis-Platinum (II) Conjugate
CHEMBL370881,C13H16N2O4Pt,41M,4.66,,trans-[Pt(OAc)2(NH3)(iquin)]
CHEMBL370881,C13H16N2O4Pt,A2780,4.89,,trans-[Pt(OAc)2(NH3)(iquin)]
