chembl_id,chemical_formula,target_name,pIC50,canonical_smiles,pref_name
CHEMBL2068314,C8H16Cl2N2O6Pt,SK-OV-3,5.0,[Pt](Cl)(Cl)(O=C(C)O)(O=C(C)O)(NCCO)(NCCO),Dichlorodiacetyl oxy-(ammino acetoxy ethylammino ethanol) platinum (II)
CHEMBL2068316,C6H16Cl4N2O2Pt,A2780,5.8,[Pt](Cl)(Cl)(Cl)(Cl)N(CCO)CCO.NCCO,Tetrachlorodi(3-hydroxypropylamine)platinum(IV)
CHEMBL2068316,C6H16Cl4N2O2Pt,SK-OV-3,5.0,[Pt](Cl)(Cl)(Cl)(Cl)N(CCO)CCO.NCCO,Tetrachlorodi(3-hydroxypropylamine)platinum(IV)
CHEMBL2068372,C7H17Cl2N3Pt,41M,4.42,[Pt](Cl)(Cl)(C(C)(C)C(N)C)(CN(C)C)C1=NN=NC1,trans-ptcl2(IPA)(pz)
CHEMBL2068372,C7H17Cl2N3Pt,A2780,4.85,[Pt](Cl)(Cl)(C(C)(C)C(N)C)(CN(C)C)C1=NN=NC1,trans-ptcl2(IPA)(pz)
CHEMBL2068372,C7H17Cl2N3Pt,CH1,4.65,[Pt](Cl)(Cl)(C(C)(C)C(N)C)(CN(C)C)C1=NN=NC1,trans-ptcl2(IPA)(pz)
CHEMBL2068452,C8H20Cl2N2O2Pt,SK-OV-3,4.64,[Pt](Cl)(Cl)(NCCCCO)(NCCCCO),Dichlorodi(4-hydroxybutylamine)platinum (II)
CHEMBL2068454,C6H16Cl2N2O2Pt,SK-OV-3,4.7,[Pt](NCCCO)(NCCCO)ClCl,Dichlorodi(3-hydroxypropylamine)platinum (II)
CHEMBL2068458,C10H20Cl2N2O6Pt,SK-OV-3,4.66,[Pt](Cl)(Cl)(O=C(N)C(O)CCCN(CCO)C(=O)O)O=C(N)C(O)CCCN(CCO)C(=O)O,Dichlorodiacetyl oxy-(ammino acetoxy butylammino ethanol) platinum (II)
CHEMBL2068496,C9H19Cl2N3Pt,41M,4.43,[Pt]([Cl])([Cl])(N(CCCC1)CCC1)(N(N2CCCC2)C3CCCC3),trans-ptcl2(pip)(pz)
CHEMBL2068496,C9H19Cl2N3Pt,A2780,4.75,[Pt]([Cl])([Cl])(N(CCCC1)CCC1)(N(N2CCCC2)C3CCCC3),trans-ptcl2(pip)(pz)
CHEMBL2068496,C9H19Cl2N3Pt,CH1,4.365,[Pt]([Cl])([Cl])(N(CCCC1)CCC1)(N(N2CCCC2)C3CCCC3),trans-ptcl2(pip)(pz)
CHEMBL295047,C23H20Cl3N8O6Ru-,A2780,4.965,[Ru](N(N(N(Nc1cccnc1)c2cccnc2)c3cccnc3)N(N(Nc1cccnc1)c2cccnc2)c3cccnc3)(O[N+](=O)[O-])O[N+](=O)[O-],beta-[Ru(azpy)2(NO3)2] CHCl3
CHEMBL298410,C23H20Cl5N6Ru+3,A2780,5.47,[Ru](N(N(N(c1ccc(cc1)N(c2ccc(cc2)N))c3ccc(cc3)N))N(N(N(c4ccc(cc4)N(c5ccc(cc5)N))c6ccc(cc6)N))Cl)Cl,beta-[Ru(azpy)2Cl2] CHCl3
CHEMBL317255,C7H16Cl2N2Pt,A2780,4.58,[Pt](N)(N)(C1CN2CCC1CC2)(Cl)Cl,trans-Amminedichloro(quinuclidine)platinium (II)
CHEMBL320447,C7H16Cl2N2Pt,41M,5.695,[Pt](NCCCCCCCN)(Cl)(Cl)N,Trans-Amminedichloro(cycloheptylamine)platinium (II)
CHEMBL320447,C7H16Cl2N2Pt,A2780,5.615,[Pt](NCCCCCCCN)(Cl)(Cl)N,Trans-Amminedichloro(cycloheptylamine)platinium (II)
CHEMBL320447,C7H16Cl2N2Pt,CH1,5.35,[Pt](NCCCCCCCN)(Cl)(Cl)N,Trans-Amminedichloro(cycloheptylamine)platinium (II)
CHEMBL320447,C7H16Cl2N2Pt,SK-OV-3,5.0,[Pt](NCCCCCCCN)(Cl)(Cl)N,Trans-Amminedichloro(cycloheptylamine)platinium (II)
CHEMBL322197,C7H16Cl4N2Pt,41M,4.79,[Pt](N)(C1CN2CCC1CC2)(Cl)(Cl)(Cl)(Cl),trans-Amminetetrachloro(quinuclidine)-platinium (IV)
CHEMBL322197,C7H16Cl4N2Pt,A2780,4.824999999999999,[Pt](N)(C1CN2CCC1CC2)(Cl)(Cl)(Cl)(Cl),trans-Amminetetrachloro(quinuclidine)-platinium (IV)
CHEMBL322197,C7H16Cl4N2Pt,CH1,4.81,[Pt](N)(C1CN2CCC1CC2)(Cl)(Cl)(Cl)(Cl),trans-Amminetetrachloro(quinuclidine)-platinium (IV)
CHEMBL322197,C7H16Cl4N2Pt,SK-OV-3,4.54,[Pt](N)(C1CN2CCC1CC2)(Cl)(Cl)(Cl)(Cl),trans-Amminetetrachloro(quinuclidine)-platinium (IV)
CHEMBL323516,C12H26Cl2N4O4Pt,41M,5.29,[Pt]([NH3])(NC1CCCCC1)(Cl)(Cl)([O]C(=O)NCC)([O]C(=O)NCC),"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-bis-(ethylcarbamato)platinium (IV)"
