chembl_id,chemical_formula,target_name,pIC50,canonical_smiles
CHEMBL611728,C10H13ClF6N2O2PRu,A2780,4.26,
CHEMBL6397,C21H18B2F8N4OPt+4,A2780,4.220000000000001,
CHEMBL6397,C21H18B2F8N4OPt+4,CH1,4.9,
CHEMBL6397,C21H18B2F8N4OPt+4,SK-OV-3,4.77,
CHEMBL6477,C21H19B2F8N5Pt+4,A2780,4.64,
CHEMBL6477,C21H19B2F8N5Pt+4,CH1,4.78,
CHEMBL6477,C21H19B2F8N5Pt+4,SK-OV-3,4.6,
CHEMBL6513,C20H15B2F9N4Pt+4,A2780,4.71,
CHEMBL6513,C20H15B2F9N4Pt+4,CH1,4.77,
CHEMBL6614,C22H21B2F8N5Pt+4,A2780,4.734999999999999,
CHEMBL6614,C22H21B2F8N5Pt+4,CH1,5.21,
CHEMBL6614,C22H21B2F8N5Pt+4,SK-OV-3,4.89,
CHEMBL6688,C21H17B2BrF8N4Pt+4,A2780,4.33,
CHEMBL6688,C21H17B2BrF8N4Pt+4,CH1,5.27,
CHEMBL6688,C21H17B2BrF8N4Pt+4,SK-OV-3,4.3,
CHEMBL6739,C25H27B2F8N5O2Pt+4,A2780,4.375,
CHEMBL6739,C25H27B2F8N5O2Pt+4,CH1,4.6850000000000005,
CHEMBL6739,C25H27B2F8N5O2Pt+4,SK-OV-3,5.75,
CHEMBL6757,C21H18B2F8N4Pt+4,A2780,4.77,
CHEMBL6757,C21H18B2F8N4Pt+4,CH1,4.96,
CHEMBL6757,C21H18B2F8N4Pt+4,SK-OV-3,4.7,
CHEMBL6763,C20H15B2BrF8N4Pt+4,A2780,5.205,
CHEMBL6763,C20H15B2BrF8N4Pt+4,CH1,5.68,
CHEMBL6763,C20H15B2BrF8N4Pt+4,SK-OV-3,5.04,
CHEMBL6811,C28H24B2F8N4Pt+4,A2780,4.585,
CHEMBL6811,C28H24B2F8N4Pt+4,CH1,5.14,
CHEMBL6811,C28H24B2F8N4Pt+4,SK-OV-3,6.05,
CHEMBL6961,C22H22B2F8N6Pt+4,A2780,4.905,
CHEMBL6961,C22H22B2F8N6Pt+4,CH1,5.38,
CHEMBL6961,C22H22B2F8N6Pt+4,SK-OV-3,4.72,
CHEMBL6963,C15H13B2F8N4Pt+3,A2780,4.785,
CHEMBL6963,C15H13B2F8N4Pt+3,CH1,5.35,
CHEMBL6963,C15H13B2F8N4Pt+3,SK-OV-3,4.82,
CHEMBL72018,C8H16O2PtS4,SK-OV-3,4.324999999999999,
CHEMBL72313,C10H20O2PtS4,SK-OV-3,4.355,
CHEMBL72317,C10H16O2PtS4,SK-OV-3,4.095,
CHEMBL72640,C12H20O2PtS4,SK-OV-3,4.675,
CHEMBL72641,C10H16O2PtS4,SK-OV-3,4.744999999999999,
CHEMBL72647,C12H24O2PtS4,SK-OV-3,4.55,
CHEMBL72867,C6H12O2PtS4,SK-OV-3,4.04,
CHEMBL73585,C12H24O2PtS4,SK-OV-3,4.345,
CHEMBL75705,C12H24O2PtS4,SK-OV-3,5.199999999999999,
